Year,Winner,Weight,HDB,Time,HDPS,Height,BMI,dogWeight,bmi_dog_ratio,dunkingEra
2023,Miki Sudo,125,39,10,0.06,64,21.453857421875,4.814901,0.22443054902987197,Yes
2022,Miki Sudo,125,40,10,0.07,64,21.453857421875,4.93836,0.2301851784921764,Yes
2021,Michelle Lesco,110,30,10,0.05,64,18.87939453125,3.70377,0.1961805498512867,Yes
2020,Miki Sudo,125,48,10,0.08,64,21.453857421875,5.926032,0.27622221419061166,Yes
2019,Miki Sudo,125,31,10,0.05,64,21.453857421875,3.827229,0.1783935133314367,Yes
2018,Miki Sudo,125,37,10,0.06,64,21.453857421875,4.567983,0.21292129010526312,Yes
2017,Miki Sudo,125,41,10,0.07,64,21.453857421875,5.061819,0.2359398079544808,Yes
2016,Miki Sudo,125,38,10,0.06,64,21.453857421875,4.691442,0.21867591956756757,Yes
2015,Miki Sudo,125,38,10,0.06,64,21.453857421875,4.691442,0.21867591956756757,Yes
2014,Miki Sudo,125,34,10,0.06,64,21.453857421875,4.197606,0.19565740171834992,Yes
2013,Sonya Thomas,105,36,10,0.06,60,20.504166666666663,4.444524,0.21676199146514935,Yes
2012,Sonya Thomas,105,45,10,0.07,60,20.504166666666663,5.555655,0.2709524893314367,Yes
2011,Sonya Thomas,105,40,10,0.07,60,20.504166666666663,4.93836,0.24084665718349932,Yes
