Year,Winner,Weight,Height,BMI,HDB,Time,HDPS,dogWeight,bmi_dog_ratio,dunkingEra,Gender
2023,Joey Chestnut,229,73,30.209607806342653,62,10,0.1,7.654458,0.2533782645927932,Yes,Male
2022,Joey Chestnut,229,73,30.209607806342653,63,10,0.1,7.777917,0.2574650107959028,Yes,Male
2021,Joey Chestnut,229,73,30.209607806342653,76,10,0.13,9.382884,0.31059271143632716,Yes,Male
2020,Joey Chestnut,229,73,30.209607806342653,75,10,0.12,9.259425,0.3065059652332176,Yes,Male
2019,Joey Chestnut,229,73,30.209607806342653,71,10,0.12,8.765589,0.2901589804207793,Yes,Male
2018,Joey Chestnut,229,73,30.209607806342653,74,10,0.12,9.135966,0.30241921903010804,Yes,Male
2017,Joey Chestnut,229,73,30.209607806342653,72,10,0.12,8.889048,0.2942457266238889,Yes,Male
2016,Joey Chestnut,229,73,30.209607806342653,70,10,0.12,8.64213,0.28607223421766975,Yes,Male
2015,Matt Stonie,130,68,19.764273356401382,62,10,0.1,7.654458,0.38728760030637926,Yes,Male
2014,Joey Chestnut,229,73,30.209607806342653,61,10,0.1,7.5309990000000004,0.24929151838968364,Yes,Male
2013,Joey Chestnut,229,73,30.209607806342653,69,10,0.12,8.518671,0.2819854880145602,Yes,Male
2012,Joey Chestnut,229,73,30.209607806342653,68,10,0.11,8.395212,0.27789874181145063,Yes,Male
2011,Joey Chestnut,229,73,30.209607806342653,62,10,0.1,7.654458,0.2533782645927932,Yes,Male
2010,Joey Chestnut,229,73,30.209607806342653,54,10,0.09,6.666786,0.22068429496791667,Yes,Male
2009,Joey Chestnut,229,73,30.209607806342653,68,10,0.11,8.395212,0.27789874181145063,Yes,Male
2008,Joey Chestnut,229,73,30.209607806342653,59,10,0.1,7.284081,0.2411180259834645,Yes,Male
2007,Joey Chestnut,229,73,30.209607806342653,66,12,0.09,8.148294,0.26972524940523146,Yes,Male
2006,Takeru Kobayashi,128,68,19.46020761245675,53,12,0.07,6.543327,0.33624137677809385,Yes,Male
2005,Takeru Kobayashi,128,68,19.46020761245675,49,12,0.07,6.049491,0.3108646690967283,Yes,Male
2004,Takeru Kobayashi,128,68,19.46020761245675,53,12,0.07,6.543327,0.33624137677809385,Yes,Male
2003,Takeru Kobayashi,128,68,19.46020761245675,44,12,0.06,5.432196,0.2791437844950213,Yes,Male
2002,Takeru Kobayashi,128,68,19.46020761245675,50,12,0.07,6.17295,0.31720884601706967,Yes,Male
2001,Takeru Kobayashi,128,68,19.46020761245675,50,12,0.07,6.17295,0.31720884601706967,Yes,Male
2000,Kazutoyo Arai,100,66,16.1386593204775,25,12,0.03,3.086475,0.1912472987197724,No,Male
1999,Steve Keiner,317,70,45.479795918367344,21,12,0.03,2.592639,0.05700639036845247,No,Male
1998,Hirofumi Nakajima,134,67,20.98507462686567,19,12,0.03,2.345721,0.11178044594594597,No,Male
1997,Hirofumi Nakajima,134,67,20.98507462686567,24,12,0.03,2.963016,0.14119635277382647,No,Male
1996,Ed Krachie,330,79,37.17192757570902,22,12,0.03,2.716098,0.07306852716927455,No,Male
1995,Ed Krachie,330,79,37.17192757570902,19,12,0.03,2.345721,0.0631046371007371,No,Male
1994,Mike DeVito,205,74,26.31756756756757,20,12,0.03,2.46918,0.09382250064184852,No,Male
1993,Mike DeVito,205,74,26.31756756756757,17,12,0.02,2.098803,0.079749125545571245,No,Male
1992,Frankie Dellarosa,290,74,37.229729729729726,19,12,0.03,2.345721,0.06300666206896553,No,Male
1991,Frankie Dellarosa,290,74,37.229729729729726,21,12,0.03,2.592639,0.06963894228675137,No,Male
2023,Miki Sudo,125,64,21.453857421875,39,10,0.06,4.814901,0.22443054902987197,Yes,Female
2022,Miki Sudo,125,64,21.453857421875,40,10,0.07,4.93836,0.2301851784921764,Yes,Female
2021,Michelle Lesco,110,64,18.87939453125,30,10,0.05,3.70377,0.1961805498512867,Yes,Female
2020,Miki Sudo,125,64,21.453857421875,48,10,0.08,5.926032,0.27622221419061166,Yes,Female
2019,Miki Sudo,125,64,21.453857421875,31,10,0.05,3.827229,0.1783935133314367,Yes,Female
2018,Miki Sudo,125,64,21.453857421875,37,10,0.06,4.567983,0.21292129010526312,Yes,Female
2017,Miki Sudo,125,64,21.453857421875,41,10,0.07,5.061819,0.2359398079544808,Yes,Female
2016,Miki Sudo,125,64,21.453857421875,38,10,0.06,4.691442,0.21867591956756757,Yes,Female
2015,Miki Sudo,125,64,21.453857421875,38,10,0.06,4.691442,0.21867591956756757,Yes,Female
2014,Miki Sudo,125,64,21.453857421875,34,10,0.06,4.197606,0.19565740171834992,Yes,Female
2013,Sonya Thomas,105,60,20.504166666666663,36,10,0.06,4.444524,0.21676199146514935,Yes,Female
2012,Sonya Thomas,105,60,20.504166666666663,45,10,0.07,5.555655,0.2709524893314367,Yes,Female
2011,Sonya Thomas,105,60,20.504166666666663,40,10,0.07,4.93836,0.24084665718349932,Yes,Female
