Player,Season,salary,inflationAdjSalary
Patrick Ewing,1990,"$4,250,000","$9,694,547"
Hot Rod Williams,1990,"$3,785,000","$8,633,850"
Hakeem Olajuwon,1990,"$3,175,000","$7,242,397"
Charles Barkley,1990,"$2,900,000","$6,615,103"
Chris Mullin,1990,"$2,850,000","$6,501,049"
Isiah Thomas,1990,"$2,720,000","$6,204,510"
Danny Ferry,1990,"$2,640,000","$6,022,024"
Robert Parish,1990,"$2,500,000","$5,702,675"
Michael Jordan,1990,"$2,500,000","$5,702,675"
Moses Malone,1990,"$2,406,000","$5,488,254"
Magic Johnson,1990,"$2,400,000","$5,474,568"
Wayman Tisdale,1990,"$2,330,000","$5,314,893"
Pervis Ellison,1990,"$2,300,000","$5,246,461"
David Robinson,1990,"$2,265,000","$5,166,623"
Karl Malone,1990,"$2,260,000","$5,155,218"
Ralph Sampson,1990,"$2,250,000","$5,132,407"
Danny Manning,1990,"$2,200,000","$5,018,354"
Blair Rasmussen,1990,"$2,185,000","$4,984,138"
Chuck Person,1990,"$2,150,000","$4,904,300"
Derrick Coleman,1990,"$2,100,000","$4,790,247"
Dominique Wilkins,1990,"$2,065,000","$4,710,409"
Tom Chambers,1990,"$2,060,000","$4,699,004"
Sam Bowie,1990,"$2,000,000","$4,562,140"
LaSalle Thompson,1990,"$2,000,000","$4,562,140"
Willie Burton,1990,"$2,000,000","$4,562,140"
Terry Porter,1990,"$2,000,000","$4,562,140"
John Stockton,1990,"$2,000,000","$4,562,140"
Mark Eaton,1990,"$2,000,000","$4,562,140"
Sam Perkins,1990,"$1,970,000","$4,493,708"
Terry Cummings,1990,"$1,860,000","$4,242,790"
Sean Elliott,1990,"$1,800,000","$4,105,926"
Mark Jackson,1990,"$1,785,000","$4,071,710"
Otis Thorpe,1990,"$1,760,000","$4,014,683"
A.C. Green,1990,"$1,750,000","$3,991,872"
Benoit Benjamin,1990,"$1,750,000","$3,991,872"
Kevin Johnson,1990,"$1,750,000","$3,991,872"
Kevin Duckworth,1990,"$1,710,000","$3,900,629"
Alton Lister,1990,"$1,700,000","$3,877,819"
Gary Payton,1990,"$1,685,000","$3,843,603"
Mahmoud Abdul-Rauf,1990,"$1,660,000","$3,786,576"
Mike Gminski,1990,"$1,650,000","$3,763,765"
Rolando Blackman,1990,"$1,650,000","$3,763,765"
James Worthy,1990,"$1,600,000","$3,649,712"
Alec Kessler,1990,"$1,600,000","$3,649,712"
Jack Sikma,1990,"$1,600,000","$3,649,712"
Bernard King,1990,"$1,600,000","$3,649,712"
Dennis Scott,1990,"$1,560,000","$3,558,469"
Jon Koncak,1990,"$1,550,000","$3,535,658"
Glen Rice,1990,"$1,550,000","$3,535,658"
Buck Williams,1990,"$1,550,000","$3,535,658"
Derek Harper,1990,"$1,519,000","$3,464,945"
Fat Lever,1990,"$1,519,000","$3,464,945"
Bill Laimbeer,1990,"$1,510,000","$3,444,415"
Larry Bird,1990,"$1,500,000","$3,421,605"
Kendall Gill,1990,"$1,500,000","$3,421,605"
Alex English,1990,"$1,500,000","$3,421,605"
Danny Schayes,1990,"$1,500,000","$3,421,605"
Johnny Dawkins,1990,"$1,500,000","$3,421,605"
Kevin McHale,1990,"$1,400,000","$3,193,498"
Mark Price,1990,"$1,400,000","$3,193,498"
Vinnie Johnson,1990,"$1,400,000","$3,193,498"
Sleepy Floyd,1990,"$1,400,000","$3,193,498"
Xavier McDaniel,1990,"$1,400,000","$3,193,498"
Greg Anderson,1990,"$1,365,000","$3,113,660"
Ron Harper,1990,"$1,365,000","$3,113,660"
Rik Smits,1990,"$1,350,000","$3,079,444"
Rick Mahorn,1990,"$1,330,000","$3,033,823"
Brad Daugherty,1990,"$1,320,000","$3,011,012"
Manute Bol,1990,"$1,300,000","$2,965,391"
Brad Lohaus,1990,"$1,275,000","$2,908,364"
Sarunas Marciulionis,1990,"$1,270,000","$2,896,958"
Larry Nance,1990,"$1,260,000","$2,874,148"
Roy Hinson,1990,"$1,250,000","$2,851,337"
J.R. Reid,1990,"$1,250,000","$2,851,337"
Dale Ellis,1990,"$1,250,000","$2,851,337"
Jim Petersen,1990,"$1,235,000","$2,817,121"
Brian Shaw,1990,"$1,212,000","$2,764,656"
Drazen Petrovic,1990,"$1,200,000","$2,737,284"
Johnny Newman,1990,"$1,200,000","$2,737,284"
Tony Campbell,1990,"$1,200,000","$2,737,284"
Armen Gilliam,1990,"$1,200,000","$2,737,284"
Clyde Drexler,1990,"$1,180,000","$2,691,662"
Detlef Schrempf,1990,"$1,160,000","$2,646,041"
Randy Breuer,1990,"$1,150,000","$2,623,230"
Mark Aguirre,1990,"$1,115,000","$2,543,393"
Bill Cartwright,1990,"$1,100,000","$2,509,177"
Byron Scott,1990,"$1,100,000","$2,509,177"
Ricky Pierce,1990,"$1,100,000","$2,509,177"
Jeff Hornacek,1990,"$1,100,000","$2,509,177"
Wayne Cooper,1990,"$1,100,000","$2,509,177"
Terry Catledge,1990,"$1,085,000","$2,474,961"
Felton Spencer,1990,"$1,070,000","$2,440,744"
Ken Norman,1990,"$1,050,000","$2,395,123"
Charles Oakley,1990,"$1,050,000","$2,395,123"
Joe Dumars,1990,"$1,035,000","$2,360,907"
Kiki Vandeweghe,1990,"$1,025,000","$2,338,096"
Kelly Tripucka,1990,"$1,000,000","$2,281,070"
Horace Grant,1990,"$1,000,000","$2,281,070"
Stacey King,1990,"$1,000,000","$2,281,070"
Herb Williams,1990,"$1,000,000","$2,281,070"
Tyrone Hill,1990,"$1,000,000","$2,281,070"
Charles Smith,1990,"$1,000,000","$2,281,070"
Maurice Cheeks,1990,"$1,000,000","$2,281,070"
Eddie Johnson,1990,"$1,000,000","$2,281,070"
Hersey Hawkins,1990,"$1,000,000","$2,281,070"
Thurl Bailey,1990,"$1,000,000","$2,281,070"
John Williams,1990,"$1,000,000","$2,281,070"
Joe Wolf,1990,"$990,000","$2,258,259"
Rodney McCray,1990,"$985,000","$2,246,854"
Sam Vincent,1990,"$980,000","$2,235,448"
Derrick McKey,1990,"$962,000","$2,194,389"
Chris Dudley,1990,"$950,000","$2,167,016"
Bo Kimble,1990,"$950,000","$2,167,016"
George McCloud,1990,"$940,000","$2,144,205"
James Edwards,1990,"$935,000","$2,132,800"
Lionel Simmons,1990,"$930,000","$2,121,395"
Craig Ehlo,1990,"$925,000","$2,109,989"
Dennis Hopson,1990,"$915,000","$2,087,179"
Jeff Malone,1990,"$915,000","$2,087,179"
Michael Cage,1990,"$910,000","$2,075,773"
Frank Brickowski,1990,"$905,000","$2,064,368"
Dell Curry,1990,"$900,000","$2,052,963"
Lester Conner,1990,"$900,000","$2,052,963"
Kurt Rambis,1990,"$900,000","$2,052,963"
Walter Davis,1990,"$900,000","$2,052,963"
Paul Pressey,1990,"$900,000","$2,052,963"
Doc Rivers,1990,"$895,000","$2,041,557"
James Donaldson,1990,"$880,000","$2,007,341"
Dennis Rodman,1990,"$880,000","$2,007,341"
