State,Median Rent,Advance,Prior Wk,Change,Advance (Continuing Claims),Prior Wk (Continuing Claims),Change (Continuing Claims)
Alabama,925,2567,2689,-122,9399,10231,-832
Alaska,1345,418,528,-110,3461,3706,-245
Arizona,1308,4129,4341,-212,28666,31139,-2473
Arkansas,868,1812,1711,101,8126,9013,-887
California,1856,41382,46546,-5164,385367,387023,-1656
Colorado,1594,2178,2582,-404,27387,27364,23
Connecticut,1374,3492,4195,-703,29573,29393,180
Delaware,1286,270,306,-36,6149,6117,32
D.C.,1817,660,685,-25,6100,6122,-22
Florida,1444,6382,6901,-519,34385,41305,-6920
Georgia,1221,4779,6853,-2074,29406,31165,-1759
Hawaii,1868,956,971,-15,5786,5919,-133
Idaho,1061,1058,912,146,5132,5383,-251
Illinois,1179,9475,8906,569,93475,97870,-4395
Indiana,967,5772,2894,2878,22860,19084,3776
Iowa,914,3359,3077,282,10502,9446,1056
Kansas,986,2404,1582,822,5302,5146,156
Kentucky,902,3535,2454,1081,8055,8215,-160
Louisiana,996,1461,2090,-629,13025,14231,-1206
Maine,1009,511,632,-121,4488,4532,-44
Maryland,1598,2069,2781,-712,24738,24820,-82
Massachusetts,1588,8004,9039,-1035,61001,61414,-413
Michigan,1037,17637,7097,10540,38185,42014,-3829
Minnesota,1178,4949,5944,-995,59200,59652,-452
Mississippi,896,1110,1388,-278,7832,8696,-864
Missouri,957,3318,3459,-141,19008,19983,-975
Montana,974,382,470,-88,4179,4383,-204
Nebraska,987,586,921,-335,5261,5251,10
Nevada,1382,2932,3028,-96,23559,24362,-803
New Hampshire,1336,395,442,-47,3175,3476,-301
New Jersey,1577,12108,17723,-5615,106435,99344,7091
New Mexico,966,903,1199,-296,10381,9677,704
New York,1507,21333,15984,5349,150711,143847,6864
North Carolina,1093,2896,3468,-572,20174,21457,-1283
North Dakota,912,1214,426,788,2241,2011,230
Ohio,945,7121,5891,1230,40246,43385,-3139
Oklahoma,934,1175,2053,-878,10688,10702,-14
Oregon,1373,5143,5379,-236,28817,26264,2553
Pennsylvania,1110,11314,12087,-773,103039,106666,-3627
Rhode Island,1195,1491,1658,-167,10378,9394,984
South Carolina,1065,2382,2515,-133,15485,15885,-400
South Dakota,878,134,148,-14,1164,1317,-153
Tennessee,1047,4500,3254,1246,23444,22970,474
Texas,1251,13626,15605,-1979,148621,157834,-9213
Utah,1302,1297,1550,-253,10906,10944,-38
Vermont,1149,293,415,-122,2532,2657,-125
Virginia,1440,2060,2112,-52,17705,16433,1272
Washington,1592,5824,5503,321,62474,59881,2593
West Virginia,831,486,820,-334,8001,7806,195
Wisconsin,992,4900,3912,988,25232,25278,-46
Wyoming,933,173,236,-63,1580,1528,52
NA,NA,NA,NA,NA,NA,NA,NA
