"","Rnk","GC","hours","minutes","seconds","BIB","Specialty","Rider","Age","Team","UCI","Pnt","Time","stage","Avg","year","tot_seconds"
"1",1,1,0,0,0,19,"Climber","YATES Adam   UAE Team Emirates",30,"UAE Team Emirates",210,100,"4:22:4910″",1,NA,2023,0
"2",2,2,0,0,8,161,"Climber","YATES Simon   Team Jayco AlUla",30,"Team Jayco AlUla",150,70,"0:040:046″",1,NA,2023,8
"3",3,3,0,0,18,11,"Climber","POGAČAR Tadej   UAE Team Emirates",24,"UAE Team Emirates",110,50,"0:120:124″",1,NA,2023,18
"4",4,4,0,0,22,37,"Climber","PINOT Thibaut   Groupama - FDJ",33,"Groupama - FDJ",90,40,",,0:12",1,NA,2023,22
"5",5,5,0,0,22,151,"Climber","WOODS Michael   Israel - Premier Tech",36,"Israel - Premier Tech",70,32,",,0:12",1,NA,2023,22
"6",6,6,0,0,22,125,"Climber","LAFAY Victor   Cofidis",27,"Cofidis",55,26,",,0:12",1,NA,2023,22
"7",7,7,0,0,22,71,"GC","HINDLEY Jai   BORA - hansgrohe",27,"BORA - hansgrohe",45,22,",,0:12",1,NA,2023,22
"8",8,8,0,0,22,83,"GC","SKJELMOSE Mattias   Lidl - Trek",22,"Lidl - Trek",40,18,",,0:12",1,NA,2023,22
"9",9,9,0,0,22,1,"GC","VINGEGAARD Jonas   Jumbo-Visma",26,"Jumbo-Visma",35,14,",,0:12",1,NA,2023,22
"10",10,10,0,0,22,31,"Climber","GAUDU David   Groupama - FDJ",26,"Groupama - FDJ",30,10,",,0:12",1,NA,2023,22
"11",11,11,0,0,22,6,"Classic","VAN AERT Wout   Jumbo-Visma",28,"Jumbo-Visma",25,8,",,0:12",1,NA,2023,22
"12",12,12,0,0,22,62,"Climber","LANDA Mikel   Bahrain - Victorious",33,"Bahrain - Victorious",20,6,",,0:12",1,NA,2023,22
"13",13,13,0,0,22,27,"GC","RODRÍGUEZ Carlos   INEOS Grenadiers",22,"INEOS Grenadiers",15,4,",,0:12",1,NA,2023,22
"14",14,14,0,0,22,3,"GC","KELDERMAN Wilco   Jumbo-Visma",32,"Jumbo-Visma",10,2,",,0:12",1,NA,2023,22
"15",15,15,0,0,43,157,"Hills","STRONG Corbin   Israel - Premier Tech",23,"Israel - Premier Tech",5,1,"0:330:33",1,NA,2023,43
"16",16,16,0,0,43,133,"Hills","ARANBURU Alex   Movistar Team",27,"Movistar Team",NA,NA,",,0:33",1,NA,2023,43
"17",17,17,0,0,43,187,"Classic","VAN GILS Maxim   Lotto Dstny",23,"Lotto Dstny",NA,NA,",,0:33",1,NA,2023,43
"18",18,18,0,0,43,158,"Climber","TEUNS Dylan   Israel - Premier Tech",31,"Israel - Premier Tech",NA,NA,",,0:33",1,NA,2023,43
"19",19,19,0,0,43,214,"GC","CRAS Steff   TotalEnergies",27,"TotalEnergies",NA,NA,",,0:33",1,NA,2023,43
"20",20,20,0,0,43,35,"Classic","MADOUAS Valentin   Groupama - FDJ",26,"Groupama - FDJ",NA,NA,",,0:33",1,NA,2023,43
"21",21,21,0,0,43,114,"Climber","MEINTJES Louis   Intermarché - Circus - Wanty",31,"Intermarché - Circus - Wanty",NA,NA,",,0:33",1,NA,2023,43
"22",22,22,0,0,43,141,"Climber","BARDET Romain   Team dsm - firmenich",32,"Team dsm - firmenich",NA,NA,",,0:33",1,NA,2023,43
"23",23,23,0,0,43,21,"GC","BERNAL Egan   INEOS Grenadiers",26,"INEOS Grenadiers",NA,NA,",,0:33",1,NA,2023,43
"24",24,24,0,0,43,72,"GC","BUCHMANN Emanuel   BORA - hansgrohe",30,"BORA - hansgrohe",NA,NA,",,0:33",1,NA,2023,43
"25",25,25,0,0,43,51,"Classic","ALAPHILIPPE Julian   Soudal Quick-Step",31,"Soudal Quick-Step",NA,NA,",,0:33",1,NA,2023,43
"26",26,26,0,0,43,198,"GC","TEJADA Harold   Astana Qazaqstan Team",26,"Astana Qazaqstan Team",NA,NA,",,0:33",1,NA,2023,43
"27",27,27,0,0,43,121,"Climber","MARTIN Guillaume   Cofidis",30,"Cofidis",NA,NA,",,0:33",1,NA,2023,43
"28",28,28,0,0,43,143,"Classic","DINHAM Matthew   Team dsm - firmenich",23,"Team dsm - firmenich",NA,NA,",,0:33",1,NA,2023,43
"29",29,29,0,0,43,26,"Classic","PIDCOCK Thomas   INEOS Grenadiers",23,"INEOS Grenadiers",NA,NA,",,0:33",1,NA,2023,43
"30",30,30,0,0,43,204,"Climber","JOHANNESSEN Tobias Halland   Uno-X Pro Cycling Team",23,"Uno-X Pro Cycling Team",NA,NA,",,0:33",1,NA,2023,43
"31",31,31,0,0,43,4,"Climber","KUSS Sepp   Jumbo-Visma",28,"Jumbo-Visma",NA,NA,",,0:33",1,NA,2023,43
"32",32,32,0,0,43,66,"GC","HAIG Jack   Bahrain - Victorious",29,"Bahrain - Victorious",NA,NA,",,0:33",1,NA,2023,43
