Name,Sex,Event,Equipment,Age,AgeClass,BirthYearClass,Division,BodyweightKg,WeightClassKg,Squat1Kg,Squat2Kg,Squat3Kg,Squat4Kg,Best3SquatKg,Bench1Kg,Bench2Kg,Bench3Kg,Bench4Kg,Best3BenchKg,Deadlift1Kg,Deadlift2Kg,Deadlift3Kg,Deadlift4Kg,Best3DeadliftKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,ParentFederation,Date,MeetCountry,MeetState,MeetTown,MeetName,Sanctioned
A Ajeesha,F,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,71.1,72,102.5,112.5,-117.5,NA,112.5,47.5,52.5,55,NA,55,117.5,127.5,132.5,NA,132.5,300,1,300.75,295.29,260.2,61.15,Yes,India,NA,AsianPF,IPF,2017-12-04,India,NA,Kerala,Asian Classic Powerlifting Championships,Yes
A Dzhaman,F,SBD,Single-ply,16.5,16-17,14-18,Juniors,47.65,48,NA,NA,NA,NA,102.5,NA,NA,NA,NA,45,NA,NA,NA,NA,100,247.5,6,321.1,329.56,293.48,53.67,Yes,NA,NA,FPR,IPF,1999-03-25,Russia,KEM,Leninsk-Kuznetsky,Russian Juniors Powerlifting Championships,Yes
A Ibempishak Devi,F,SBD,Single-ply,71,70-74,70-999,Masters 4,68.1,72,40,42.5,-60,NA,42.5,20,25,30,NA,30,60,-70,NA,NA,60,132.5,1,136.1,134.38,118.52,22.93,Yes,NA,NA,PI,IPF,2019-05-27,India,NA,Gudiyatham,Indian Sub-Juniors & Masters Powerlifting Championships,Yes
A Jyoshna,F,SBD,Single-ply,17,16-17,14-18,Open,52,52,NA,NA,NA,NA,120,NA,NA,NA,NA,65,NA,NA,NA,NA,135,320,2,390.05,398.92,353.61,65.17,Yes,NA,NA,PI,IPF,2023-02-23,India,NA,Jammu,Federation Cup,Yes
A Madhuri,F,SBD,Raw,16.5,16-17,14-18,Sub-Juniors,76,76,NA,NA,NA,NA,115,NA,NA,NA,NA,60,NA,NA,NA,NA,125,300,1,290.17,282.86,248.69,59.15,Yes,NA,NA,PI,IPF,2024-06-06,India,NA,Sri Ganganagar,National Sub Junior & Junior Classic Powerlifting Championship,Yes
A Mazgumova,F,SBD,Single-ply,16.5,16-17,14-18,Sub-Juniors,60.5,67.5,50,55,60,NA,60,25,-30,30,NA,30,60,70,80,NA,80,170,2,187.47,188.32,166.37,31.42,Yes,NA,NA,AsianPF,IPF,2004-04-28,Uzbekistan,NA,Zarafshan,Asian Powerlifting Championships,Yes
A V Anjana,F,SBD,Single-ply,24,24-34,24-39,Open,111.76,84+,150,162.5,172.5,NA,172.5,90,100,-110,NA,100,110,130,142.5,NA,142.5,415,3,340.29,336.32,286.08,59.61,Yes,India,NA,AsianPF,IPF,2023-05-02,India,NA,Alappuzha,Asian Equipped Powerlifting Championships,Yes
A Ziurauskyte,F,SBD,Single-ply,16.5,16-17,14-18,F-O,59,60,NA,NA,NA,NA,60,NA,NA,NA,NA,37.5,NA,NA,NA,NA,90,187.5,1,210.08,211.79,187.17,35.18,Yes,NA,NA,LJTF,IPF,2005-04-09,Lithuania,NA,Pasvalys,National Championships,Yes
A'Lora Walker,F,SBD,Raw,16.5,16-17,14-18,FR-HS,62.41,67.5,-124.7,129.3,133.8,NA,133.8,52.2,56.7,61.2,NA,61.2,131.5,145.2,154.2,NA,154.2,349.2,1,377.74,377.71,333.57,76.87,Yes,USA,LA,USAPL,NA,2024-05-18,USA,LA,NA,Louisiana State Games,Yes
A-Yun Lin,F,SBD,Raw,70.5,70-74,70-999,Open,54.6,57,70,80,-90,NA,80,35,45,52.5,NA,52.5,100,120,-125,NA,120,252.5,10,297.67,303.05,268.21,61.23,Yes,Taiwan,NA,IPF,IPF,2016-06-19,USA,TX,Killeen,World Classic Powerlifting Championships,Yes
