AgeClass,Name,Sex,Event,Equipment,Age,BirthYearClass,Division,BodyweightKg,WeightClassKg,TotalKg,Place,Dots,Wilks,Glossbrenner,Goodlift,Tested,Country,State,Federation,Lift,Best_lift
13-15,Christopher Casanova,M,SBD,Raw,14.5,14-18,MR-T1,74.25,75,465,1,335.76,333.68,322.56,68.15,Yes,USA,FL,USAPL,Best3SquatKg,165
13-15,Christopher Casanova,M,SBD,Raw,14.5,14-18,MR-T1,74.25,75,465,1,335.76,333.68,322.56,68.15,Yes,USA,FL,USAPL,Best3BenchKg,100
13-15,Christopher Casanova,M,SBD,Raw,14.5,14-18,MR-T1,74.25,75,465,1,335.76,333.68,322.56,68.15,Yes,USA,FL,USAPL,Best3DeadliftKg,200
13-15,Tyler Shumaker,M,SBD,Raw,13,NA,RT 12-13,62.6,67.5,195,2,159.08,160.13,156.01,31.26,Yes,USA,NC,AAU,Best3SquatKg,57.5
13-15,Tyler Shumaker,M,SBD,Raw,13,NA,RT 12-13,62.6,67.5,195,2,159.08,160.13,156.01,31.26,Yes,USA,NC,AAU,Best3BenchKg,40
13-15,Tyler Shumaker,M,SBD,Raw,13,NA,RT 12-13,62.6,67.5,195,2,159.08,160.13,156.01,31.26,Yes,USA,NC,AAU,Best3DeadliftKg,97.5
13-15,Ilya Bezrukov,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,64.9,66,237.5,2,188.44,189.1,183.9,32.2,Yes,Russia,NA,FPR,Best3SquatKg,82.5
13-15,Ilya Bezrukov,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,64.9,66,237.5,2,188.44,189.1,183.9,32.2,Yes,Russia,NA,FPR,Best3BenchKg,55
13-15,Ilya Bezrukov,M,SBD,Single-ply,13.5,14-18,Sub-Juniors,64.9,66,237.5,2,188.44,189.1,183.9,32.2,Yes,Russia,NA,FPR,Best3DeadliftKg,100
13-15,Vladislav Tolstokorov,M,SBD,Single-ply,14.5,14-18,Open,68.3,74,342.5,2,261.76,261.61,253.81,44.79,Yes,Russia,NA,FPR,Best3SquatKg,137.5
13-15,Vladislav Tolstokorov,M,SBD,Single-ply,14.5,14-18,Open,68.3,74,342.5,2,261.76,261.61,253.81,44.79,Yes,Russia,NA,FPR,Best3BenchKg,65
13-15,Vladislav Tolstokorov,M,SBD,Single-ply,14.5,14-18,Open,68.3,74,342.5,2,261.76,261.61,253.81,44.79,Yes,Russia,NA,FPR,Best3DeadliftKg,140
