"tourney_id","tourney_name","surface","draw_size","tourney_level","tourney_date","match_num","winner_id","winner_seed","winner_entry","winner_name","winner_hand","winner_ht","winner_ioc","winner_age","loser_id","loser_seed","loser_entry","loser_name","loser_hand","loser_ht","loser_ioc","loser_age","score","best_of","round","minutes","w_ace","w_df","w_svpt","w_1stIn","w_1stWon","w_2ndWon","w_SvGms","w_bpSaved","w_bpFaced","l_ace","l_df","l_svpt","l_1stIn","l_1stWon","l_2ndWon","l_SvGms","l_bpSaved","l_bpFaced","winner_rank","winner_rank_points","loser_rank","loser_rank_points"
"2006-520","Roland Garros","Clay",128,"G",20060529,124,104745,2,NA,"Rafael Nadal","L",185,"ESP",19.9,104925,NA,NA,"Novak Djokovic","R",188,"SRB",19,"6-4 6-4 RET",5,"QF",114,3,0,59,47,30,7,10,3,6,2,3,67,49,27,4,10,2,7,2,4545,63,627
"2007-403","Miami Masters","Hard",96,"M",20070319,92,104925,10,NA,"Novak Djokovic","R",188,"SRB",19.8,104745,2,NA,"Rafael Nadal","L",185,"ESP",20.7,"6-3 6-4",3,"QF",97,7,0,65,45,29,15,10,4,5,1,1,54,40,28,5,9,4,7,10,2060,2,4755
"2007-404","Indian Wells Masters","Hard",96,"M",20070305,95,104745,2,NA,"Rafael Nadal","L",185,"ESP",20.7,104925,12,NA,"Novak Djokovic","R",188,"SRB",19.7,"6-2 7-5",3,"F",94,2,1,65,44,32,14,10,3,3,3,2,51,26,20,11,10,1,4,2,4480,13,1715
"2007-416","Rome Masters","Clay",56,"M",20070507,52,104745,2,NA,"Rafael Nadal","L",185,"ESP",20.9,104925,5,NA,"Novak Djokovic","R",188,"SRB",19.9,"6-2 6-3",3,"QF",101,2,2,46,34,28,5,8,1,1,1,1,67,48,27,6,9,8,12,2,4875,5,2720
"2007-421","Canada Masters","Hard",56,"M",20070805,54,104925,3,NA,"Novak Djokovic","R",188,"SRB",20.2,104745,2,NA,"Rafael Nadal","L",185,"ESP",21.1,"7-5 6-3",3,"SF",111,11,2,71,46,37,15,11,8,8,2,2,61,42,26,11,10,2,4,4,3200,2,5455
"2007-520","Roland Garros","Clay",128,"G",20070528,126,104745,2,NA,"Rafael Nadal","L",185,"ESP",20.9,104925,6,NA,"Novak Djokovic","R",188,"SRB",20,"7-5 6-4 6-2",5,"SF",148,3,1,86,61,45,15,15,4,6,3,1,95,68,39,10,15,3,9,2,5225,6,2810
"2007-540","Wimbledon","Grass",128,"G",20070625,126,104745,2,NA,"Rafael Nadal","L",185,"ESP",21,104925,4,NA,"Novak Djokovic","R",188,"SRB",20,"3-6 6-1 4-1 RET",5,"SF",101,4,0,55,32,25,13,10,1,2,7,2,77,50,33,11,11,6,10,2,5225,5,3010
"2007-605","Masters Cup","Hard",8,"F",20071112,3,104745,NA,NA,"Rafael Nadal","L",185,"ESP",21.4,104925,NA,NA,"Novak Djokovic","R",188,"SRB",20.4,"6-4 6-4",3,"RR",104,3,0,56,39,31,10,10,3,4,9,0,69,44,27,14,10,5,8,2,5535,3,4470
"2008-311","Queen's Club","Grass",56,"A",20080609,55,104745,1,NA,"Rafael Nadal","L",185,"ESP",22,104925,2,NA,"Novak Djokovic","R",188,"SRB",21,"7-6(6) 7-5",3,"F",136,3,0,82,50,34,16,12,5,8,4,0,90,69,42,10,12,9,13,2,5585,3,5225
"2008-404","Indian Wells Masters","Hard",96,"M",20080313,94,104925,3,NA,"Novak Djokovic","R",188,"SRB",20.8,104745,2,NA,"Rafael Nadal","L",185,"ESP",21.7,"6-3 6-2",3,"SF",88,8,0,50,31,25,11,9,2,3,2,2,51,31,18,8,8,3,7,3,5130,2,5980
