tourney_date,match_year,surface,winner_name,loser_name,winner_rank,loser_rank,lower_rank_player,lower_rank_won,lower_rank,higher_rank,lower_rank_wins,rank_diff
2010-01-03,2010,Hard,Andy Roddick,Peter Luczak,7,77,Peter Luczak,0,7,77,1,70
2010-01-03,2010,Hard,Carsten Ball,Mischa Zverev,134,78,Carsten Ball,1,78,134,0,56
2010-01-03,2010,Hard,Richard Gasquet,Jarkko Nieminen,52,88,Jarkko Nieminen,0,52,88,1,36
2010-01-03,2010,Hard,Matthew Ebden,Jurgen Melzer,285,28,Matthew Ebden,1,28,285,0,257
2010-01-03,2010,Hard,Tomas Berdych,Nick Lindahl,20,251,Nick Lindahl,0,20,251,1,231
2010-01-03,2010,Hard,Marcos Baghdatis,Mardy Fish,42,55,Mardy Fish,0,42,55,1,13
2010-01-03,2010,Hard,Harel Levy,Michael Llodra,119,67,Harel Levy,1,67,119,0,52
2010-01-03,2010,Hard,Thomaz Bellucci,Juan Ignacio Chela,36,73,Juan Ignacio Chela,0,36,73,1,37
2010-01-03,2010,Hard,James Blake,Sam Querrey,44,25,James Blake,1,25,44,0,19
2010-01-03,2010,Hard,Marc Gicquel,Philipp Petzschner,58,80,Philipp Petzschner,0,58,80,1,22
2010-01-03,2010,Hard,Florent Serra,Julian Reister,65,173,Julian Reister,0,65,173,1,108
2010-01-03,2010,Hard,Gael Monfils,Taylor Dent,13,76,Taylor Dent,0,13,76,1,63
2010-01-03,2010,Hard,Alejandro Falla,Jeremy Chardy,81,32,Alejandro Falla,1,32,81,0,49
2010-01-03,2010,Hard,Wayne Odesnik,Arnaud Clement,105,63,Wayne Odesnik,1,63,105,0,42
2010-01-03,2010,Hard,Alexandr Dolgopolov,Bernard Tomic,131,286,Bernard Tomic,0,131,286,1,155
2010-01-03,2010,Hard,Radek Stepanek,John Millman,12,306,John Millman,0,12,306,1,294
2010-01-03,2010,Hard,Andy Roddick,Carsten Ball,7,134,Carsten Ball,0,7,134,1,127
2010-01-03,2010,Hard,Richard Gasquet,Matthew Ebden,52,285,Matthew Ebden,0,52,285,1,233
2010-01-03,2010,Hard,Tomas Berdych,Marcos Baghdatis,20,42,Marcos Baghdatis,0,20,42,1,22
2010-01-03,2010,Hard,Thomaz Bellucci,Harel Levy,36,119,Harel Levy,0,36,119,1,83
2010-01-03,2010,Hard,James Blake,Marc Gicquel,44,58,Marc Gicquel,0,44,58,1,14
2010-01-03,2010,Hard,Gael Monfils,Florent Serra,13,65,Florent Serra,0,13,65,1,52
2010-01-03,2010,Hard,Wayne Odesnik,Alejandro Falla,105,81,Wayne Odesnik,1,81,105,0,24
2010-01-03,2010,Hard,Radek Stepanek,Alexandr Dolgopolov,12,131,Alexandr Dolgopolov,0,12,131,1,119
2010-01-03,2010,Hard,Andy Roddick,Richard Gasquet,7,52,Richard Gasquet,0,7,52,1,45
2010-01-03,2010,Hard,Tomas Berdych,Thomaz Bellucci,20,36,Thomaz Bellucci,0,20,36,1,16
2010-01-03,2010,Hard,Gael Monfils,James Blake,13,44,James Blake,0,13,44,1,31
2010-01-03,2010,Hard,Radek Stepanek,Wayne Odesnik,12,105,Wayne Odesnik,0,12,105,1,93
2010-01-03,2010,Hard,Andy Roddick,Tomas Berdych,7,20,Tomas Berdych,0,7,20,1,13
2010-01-03,2010,Hard,Radek Stepanek,Gael Monfils,12,13,Gael Monfils,0,12,13,1,1
2010-01-03,2010,Hard,Andy Roddick,Radek Stepanek,7,12,Radek Stepanek,0,7,12,1,5
2010-01-04,2010,Hard,Robby Ginepri,Robin Soderling,100,8,Robby Ginepri,1,8,100,0,92
2010-01-04,2010,Hard,Lukas Lacko,Yen Hsun Lu,82,98,Yen Hsun Lu,0,82,98,1,16
2010-01-04,2010,Hard,Kevin Kim,Daniel Brands,117,92,Kevin Kim,1,92,117,0,25
2010-01-04,2010,Hard,Dudi Sela,Denis Istomin,43,102,Denis Istomin,0,43,102,1,59
2010-01-04,2010,Hard,Stan Wawrinka,Rohan Bopanna,21,391,Rohan Bopanna,0,21,391,1,370
2010-01-04,2010,Hard,Michael Russell,Prakash Amritraj,83,212,Prakash Amritraj,0,83,212,1,129
2010-01-04,2010,Hard,Stephane Robert,Louk Sorensen,108,293,Louk Sorensen,0,108,293,1,185
2010-01-04,2010,Hard,Michael Berrer,Santiago Ventura,74,109,Santiago Ventura,0,74,109,1,35
2010-01-04,2010,Hard,Thiemo De Bakker,Rajeev Ram,96,79,Thiemo De Bakker,1,79,96,0,17
2010-01-04,2010,Hard,Robin Haase,Tsung Hua Yang,447,341,Robin Haase,1,341,447,0,106
2010-01-04,2010,Hard,Somdev Devvarman,Rainer Schuettler,126,85,Somdev Devvarman,1,85,126,0,41
2010-01-04,2010,Hard,Janko Tipsarevic,Carlos Moya,38,446,Carlos Moya,0,38,446,1,408
2010-01-04,2010,Hard,Jan Hajek,Simon Greul,103,59,Jan Hajek,1,59,103,0,44
2010-01-04,2010,Hard,Santiago Giraldo,Bjorn Phau,107,111,Bjorn Phau,0,107,111,1,4
2010-01-04,2010,Hard,Marcel Granollers,James Ward,91,272,James Ward,0,91,272,1,181
2010-01-04,2010,Hard,Marin Cilic,Igor Kunitsyn,14,104,Igor Kunitsyn,0,14,104,1,90
2010-01-04,2010,Hard,Lukas Lacko,Robby Ginepri,82,100,Robby Ginepri,0,82,100,1,18
2010-01-04,2010,Hard,Dudi Sela,Kevin Kim,43,117,Kevin Kim,0,43,117,1,74
2010-01-04,2010,Hard,Stan Wawrinka,Michael Russell,21,83,Michael Russell,0,21,83,1,62
2010-01-04,2010,Hard,Michael Berrer,Stephane Robert,74,108,Stephane Robert,0,74,108,1,34
2010-01-04,2010,Hard,Thiemo De Bakker,Robin Haase,96,447,Robin Haase,0,96,447,1,351
2010-01-04,2010,Hard,Janko Tipsarevic,Somdev Devvarman,38,126,Somdev Devvarman,0,38,126,1,88
2010-01-04,2010,Hard,Santiago Giraldo,Jan Hajek,107,103,Santiago Giraldo,1,103,107,0,4
2010-01-04,2010,Hard,Marin Cilic,Marcel Granollers,14,91,Marcel Granollers,0,14,91,1,77
2010-01-04,2010,Hard,Dudi Sela,Lukas Lacko,43,82,Lukas Lacko,0,43,82,1,39
2010-01-04,2010,Hard,Stan Wawrinka,Michael Berrer,21,74,Michael Berrer,0,21,74,1,53
2010-01-04,2010,Hard,Janko Tipsarevic,Thiemo De Bakker,38,96,Thiemo De Bakker,0,38,96,1,58
2010-01-04,2010,Hard,Marin Cilic,Santiago Giraldo,14,107,Santiago Giraldo,0,14,107,1,93
