Year,Team,Player,Division,Pick,Points
2012,Edmonton Oilers,Nail Yakupov,Pacific,1,31
2013,Colorado Avalanche,Nathan MacKinnon,Central,1,63
2014,Florida Panthers,Aaron Ekblad,Atlantic,1,39
2015,Edmonton Oilers,Connor McDavid,Pacific,1,48
2016,Toronto Maple Leafs,Auston Matthews,Atlantic,1,69
2017,New Jersey Devils,Nico Hischier,Metropolitan,1,52
2018,Buffalo Sabres,Rasmus Dahlin,Atlantic,1,44
2019,New Jersey Devils,Jack Hughes,Metropolitan,1,21
2020,New York Rangers,Alexis Lafreniere,Metropolitan,1,21
2021,Buffalo Sabres,Owen Power,Atlantic,1,35
2022,Montreal Canadiens,Juraj Slafkovsky,Atlantic,1,10
2021,Seattle Kraken,Matty Beniers,Pacific,2,57
2020,Los Angeles Kings,Quinton Byfield,Pacific,2,10
2019,New York Rangers,Kaapo Kakko,Metropolitan,2,23
2018,Carolina Hurricanes,Andrei Svechnikov,Metropolitan,2,37
2017,Philadelphia Flyers,Nolan Patrick,Metropolitan,2,30
2016,Winnipeg Jets,Patrik Laine,Pacific,2,64
2015,Buffalo Sabres,Jack Eichel,Atlantic,2,56
2014,Buffalo Sabres,Sam Reinhart,Atlantic,2,42
2013,Florida Panthers,Aleksander Barkov,Atlantic,2,24
2012,Columbus Blue Jackets,Ryan Murray,Metropolitan,2,21
2021,Anaheim Ducks,Mason McTavish,Pacific,3,43
2020,Ottawa Senators,Tim Stutzle,Atlantic,3,29
2019,Chicago Blackhawks,Kirby Dach,Central,3,23
2018,Montreal Canadiens,Jesperi Kotkaniemi,Atlantic,3,34
2017,Dallas Stars,Miro Heiskanen,Central,3,33
2016,Columbus Blue Jackets,Pierre-Luc Dubois,Metropolitan,3,48
2015,Arizona Coyotes,Dylan Strome,Central,3,9
2014,Edmonton Oilers,Leon Draisaitl,Pacific,3,51
2013,Tampa Bay. Lightning,Jonathan Drouin,Atlantic,3,32
2012,Montreal Canadiens,Alex Galchenyuk,Atlantic,3,27
