Date,Visitor,V_goals,Home,H_goals,extra_time,attendance
2022-10-18,Los Angeles Kings,4,Nashville Predators,3,SO,17159
2022-10-20,Anaheim Ducks,1,Boston Bruins,2,SO,17850
2022-10-25,Colorado Avalanche,3,New York Rangers,2,SO,18006
2022-10-30,Minnesota Wild,4,Chicago Blackhawks,3,SO,14149
2022-10-31,Washington Capitals,2,Carolina Hurricanes,3,SO,16211
2022-11-01,Anaheim Ducks,6,San Jose Sharks,5,SO,10058
2022-11-03,Florida Panthers,4,San Jose Sharks,3,SO,10182
2022-11-03,Carolina Hurricanes,4,Tampa Bay Lightning,3,SO,19092
2022-11-05,Anaheim Ducks,5,San Jose Sharks,4,SO,17562
2022-11-05,Nashville Predators,4,Vancouver Canucks,3,SO,18855
2022-11-08,Montreal Canadiens,3,Detroit Red Wings,2,SO,17033
2022-11-13,San Jose Sharks,3,Minnesota Wild,2,SO,17105
2022-11-17,Washington Capitals,4,St. Louis Blues,5,SO,18096
2022-11-19,Calgary Flames,5,Florida Panthers,4,SO,15842
2022-11-19,Philadelphia Flyers,4,Montreal Canadiens,5,SO,21105
2022-11-21,Colorado Avalanche,3,Dallas Stars,2,SO,18532
2022-11-21,Arizona Coyotes,3,Nashville Predators,4,SO,17159
2022-11-23,Calgary Flames,1,Pittsburgh Penguins,2,SO,18149
2022-11-25,Montreal Canadiens,3,Chicago Blackhawks,2,SO,16159
2022-11-25,Arizona Coyotes,3,Detroit Red Wings,4,SO,19515
2022-11-28,Vegas Golden Knights,3,Columbus Blue Jackets,2,SO,13771
2022-11-30,Buffalo Sabres,5,Detroit Red Wings,4,SO,17117
2022-12-03,Anaheim Ducks,4,Minnesota Wild,5,SO,17822
2022-12-04,Minnesota Wild,6,Dallas Stars,5,SO,18120
2022-12-05,Vegas Golden Knights,4,Boston Bruins,3,SO,17850
2022-12-09,New York Rangers,2,Colorado Avalanche,1,SO,18112
2022-12-12,Calgary Flames,1,Montreal Canadiens,2,SO,21105
2022-12-13,New York Islanders,3,Boston Bruins,4,SO,17850
2022-12-14,Vancouver Canucks,4,Calgary Flames,3,SO,17552
2022-12-15,Los Angeles Kings,3,Boston Bruins,2,SO,17850
2022-12-15,St. Louis Blues,4,Edmonton Oilers,3,SO,17550
2022-12-17,San Jose Sharks,2,Los Angeles Kings,3,SO,18230
2022-12-19,New York Islanders,0,Colorado Avalanche,1,SO,18110
2022-12-22,Seattle Kraken,5,Vancouver Canucks,6,SO,18794
2022-12-23,Los Angeles Kings,1,Arizona Coyotes,2,SO,4600
2022-12-23,St. Louis Blues,4,Vegas Golden Knights,5,SO,18125
2022-12-27,Boston Bruins,2,Ottawa Senators,3,SO,20016
2022-12-28,Vegas Golden Knights,2,Anaheim Ducks,3,SO,15156
2022-12-29,Los Angeles Kings,5,Colorado Avalanche,4,SO,18132
2022-12-29,New York Rangers,1,Tampa Bay Lightning,2,SO,19092
2023-01-01,Carolina Hurricanes,5,New Jersey Devils,4,SO,16514
2023-01-03,St. Louis Blues,6,Toronto Maple Leafs,5,SO,18553
2023-01-07,Carolina Hurricanes,3,Columbus Blue Jackets,4,SO,18663
2023-01-10,Dallas Stars,2,New York Islanders,1,SO,16412
2023-01-10,Minnesota Wild,3,New York Rangers,4,SO,18006
2023-01-15,Vancouver Canucks,4,Carolina Hurricanes,3,SO,18680
2023-01-16,New Jersey Devils,4,San Jose Sharks,3,SO,13293
2023-01-17,Detroit Red Wings,3,Arizona Coyotes,4,SO,4600
2023-01-21,Colorado Avalanche,2,Seattle Kraken,1,SO,17151
2023-01-26,Pittsburgh Penguins,2,Washington Capitals,3,SO,18573
2023-01-28,Buffalo Sabres,2,Minnesota Wild,3,SO,19212
2023-02-06,Anaheim Ducks,2,Dallas Stars,3,SO,18145
2023-02-09,Edmonton Oilers,1,Philadelphia Flyers,2,SO,18851
2023-02-11,New Jersey Devils,2,Minnesota Wild,3,SO,19065
2023-02-13,Florida Panthers,2,Minnesota Wild,1,SO,17453
2023-02-14,Tampa Bay Lightning,4,Colorado Avalanche,3,SO,18072
2023-02-14,Ottawa Senators,3,New York Islanders,2,SO,15134
2023-02-14,Seattle Kraken,2,Winnipeg Jets,3,SO,14237
2023-02-15,Tampa Bay Lightning,0,Arizona Coyotes,1,SO,4600
2023-02-15,Detroit Red Wings,5,Edmonton Oilers,4,SO,17627
2023-02-17,New York Rangers,5,Edmonton Oilers,4,SO,18347
2023-02-17,Dallas Stars,1,Minnesota Wild,2,SO,19239
2023-02-18,Arizona Coyotes,5,Los Angeles Kings,6,SO,18230
2023-02-21,Vegas Golden Knights,2,Chicago Blackhawks,3,SO,18083
2023-02-21,Vancouver Canucks,4,Nashville Predators,5,SO,17161
2023-02-25,Chicago Blackhawks,4,San Jose Sharks,3,SO,17562
2023-02-25,Dallas Stars,3,Vegas Golden Knights,2,SO,17906
2023-02-28,New York Islanders,1,Minnesota Wild,2,SO,18431
2023-02-28,Los Angeles Kings,6,Winnipeg Jets,5,SO,13203
2023-03-03,New Jersey Devils,3,Vegas Golden Knights,4,SO,18033
2023-03-06,Nashville Predators,3,Vancouver Canucks,4,SO,18525
2023-03-07,Calgary Flames,1,Minnesota Wild,0,SO,18998
2023-03-07,Carolina Hurricanes,4,Montreal Canadiens,3,SO,21105
2023-03-09,New York Rangers,4,Montreal Canadiens,3,SO,21105
2023-03-09,New Jersey Devils,3,Washington Capitals,2,SO,18573
2023-03-11,Nashville Predators,2,Los Angeles Kings,1,SO,18230
2023-03-15,Colorado Avalanche,2,Toronto Maple Leafs,1,SO,19102
2023-03-15,Buffalo Sabres,4,Washington Capitals,5,SO,18573
2023-03-16,Tampa Bay Lightning,4,New Jersey Devils,3,SO,16094
2023-03-18,Vancouver Canucks,3,Los Angeles Kings,2,SO,18230
2023-03-18,Toronto Maple Leafs,5,Ottawa Senators,4,SO,20092
2023-03-21,Detroit Red Wings,3,St. Louis Blues,2,SO,18096
2023-03-23,Seattle Kraken,1,Nashville Predators,2,SO,17436
2023-03-23,Minnesota Wild,4,Philadelphia Flyers,5,SO,18495
2023-03-26,Colorado Avalanche,4,Arizona Coyotes,3,SO,4600
2023-03-26,Boston Bruins,4,Carolina Hurricanes,3,SO,18958
2023-03-27,Montreal Canadiens,4,Buffalo Sabres,3,SO,16435
2023-03-29,New York Islanders,2,Washington Capitals,1,SO,18573
2023-04-02,Boston Bruins,4,St. Louis Blues,3,SO,18096
2023-04-03,Vegas Golden Knights,4,Minnesota Wild,3,SO,19176
2023-04-06,Buffalo Sabres,7,Detroit Red Wings,6,SO,19367
2023-04-08,Vegas Golden Knights,1,Dallas Stars,2,SO,18532
2023-04-08,Calgary Flames,2,Vancouver Canucks,3,SO,18852
2023-04-10,Nashville Predators,3,Calgary Flames,2,SO,17359
2023-04-10,Buffalo Sabres,3,New York Rangers,2,SO,18006
