team,GP,W,L,OTL,PTS,reg_pts,ppg,so_pts,pct_so,RW,ROW,SOW,SOL
BOS,82,65,12,5,135,131,1.646341463414634,4,0.5714285714285714,54,61,4,3
CAR,82,52,21,9,113,109,1.3780487804878048,4,0.5714285714285714,39,48,4,3
NJ,82,52,22,8,112,110,1.3658536585365855,2,0.3333333333333333,39,50,2,4
TOR,82,50,21,11,111,110,1.353658536585366,1,0.3333333333333333,42,49,1,2
VGK,82,51,22,9,111,106,1.353658536585366,5,0.5555555555555556,38,46,5,4
EDM,82,50,23,9,109,109,1.329268292682927,0,0,45,50,0,4
COL,82,51,24,7,109,103,1.329268292682927,6,0.6666666666666666,36,45,6,3
DAL,82,47,21,14,108,104,1.3170731707317074,4,0.5714285714285714,39,43,4,3
NYR,82,47,22,13,107,103,1.3048780487804879,4,0.5714285714285714,37,43,4,3
LA,82,47,25,10,104,98,1.2682926829268293,6,0.6666666666666666,37,41,6,3
MIN,82,46,25,11,103,96,1.2560975609756098,7,0.5384615384615384,34,39,7,6
SEA,82,46,28,8,100,100,1.2195121951219512,0,0,37,46,0,4
TB,82,46,30,6,98,95,1.1951219512195121,3,0.6,38,43,3,2
WPG,82,46,33,3,95,94,1.1585365853658536,1,0.5,36,45,1,1
NYI,82,42,31,9,93,92,1.1341463414634145,1,0.16666666666666666,36,41,1,5
CGY,82,38,27,17,93,91,1.1341463414634145,2,0.2857142857142857,31,36,2,5
FLA,82,42,32,8,92,90,1.1219512195121952,2,0.6666666666666666,36,40,2,1
NSH,82,42,32,8,92,86,1.1219512195121952,6,0.75,29,36,6,2
PIT,82,40,31,11,91,90,1.1097560975609757,1,0.5,31,39,1,1
BUF,82,42,33,7,91,88,1.1097560975609757,3,0.5,30,39,3,3
OTT,82,39,35,8,86,84,1.048780487804878,2,0.6666666666666666,31,37,2,1
VAN,82,38,37,7,83,77,1.0121951219512195,6,0.75,24,32,6,2
STL,82,37,38,7,81,78,0.9878048780487805,3,0.5,27,34,3,3
WSH,82,35,37,10,80,78,0.975609756097561,2,0.3333333333333333,27,33,2,4
DET,82,35,37,10,80,77,0.975609756097561,3,0.42857142857142855,28,32,3,4
PHI,82,31,38,13,75,73,0.9146341463414634,2,0.6666666666666666,26,29,2,1
ARI,82,28,40,14,70,67,0.8536585365853658,3,0.42857142857142855,20,25,3,4
MTL,82,31,45,6,68,63,0.8292682926829268,5,0.7142857142857143,21,26,5,2
SJ,82,22,44,16,60,59,0.7317073170731707,1,0.14285714285714285,16,21,1,6
CHI,82,26,49,7,59,57,0.7195121951219512,2,0.5,18,24,2,2
CBJ,82,25,48,9,59,58,0.7195121951219512,1,0.5,15,24,1,1
ANA,82,23,47,12,58,55,0.7073170731707317,3,0.5,13,20,3,3
