Rank,Team,G,AB,H,BA
1,Texas (Big 12),65,"1,720",637,0.37
2,Oklahoma (Big 12),66,"1,710",619,0.362
3,Miami (OH) (MAC),58,"1,543",537,0.348
4,North Carolina (ACC),50,"1,335",463,0.347
5,Virginia Tech (ACC),55,"1,515",518,0.342
6,Southeastern La. (Southland),62,"1,582",537,0.339
7,Nevada (Mountain West),57,"1,573",527,0.335
8,Grand Canyon (WAC),63,"1,640",547,0.334
9,Howard (MEAC),45,"1,227",409,0.333
10,Florida St. (ACC),62,"1,654",550,0.333
11,Florida (SEC),69,"1,763",581,0.33
12,Arizona (Pac-12),56,"1,506",496,0.329
13,Colorado St. (Mountain West),47,"1,252",404,0.323
14,Duke (ACC),61,"1,632",525,0.322
15,Boston U. (Patriot),60,"1,652",531,0.321
16,BYU (Big 12),54,"1,441",460,0.319
17,Washington (Pac-12),47,"1,269",403,0.318
18,Louisiana (Sun Belt),64,"1,692",537,0.317
19,UNLV (Mountain West),50,"1,312",415,0.316
20,UCLA (Pac-12),55,"1,399",440,0.315
21,California Baptist (WAC),58,"1,578",496,0.314
22,Marshall (Sun Belt),53,"1,445",454,0.314
23,Cal St. Fullerton (Big West),58,"1,541",483,0.313
24,Fresno St. (Mountain West),52,"1,427",447,0.313
25,UIW (Southland),51,"1,434",448,0.312
26,Harvard (Ivy League),44,"1,204",376,0.312
27,Marist (MAAC),55,"1,553",483,0.311
28,Indiana (Big Ten),60,"1,592",495,0.311
29,Texas Tech (Big 12),50,"1,309",407,0.311
30,James Madison (Sun Belt),53,"1,421",441,0.31
31,Florida A&M (SWAC),46,"1,167",362,0.31
32,Georgia Tech (ACC),55,"1,442",446,0.309
33,Oregon (Pac-12),51,"1,381",425,0.308
34,California (Pac-12),56,"1,496",460,0.307
35,Oklahoma St. (Big 12),61,"1,548",475,0.307
36,Texas A&M (SEC),59,"1,502",460,0.306
37,Toledo (MAC),49,"1,299",395,0.304
38,East Carolina (AAC),57,"1,510",457,0.303
39,Utah (Pac-12),57,"1,517",459,0.303
40,Saint Francis (PA) (NEC),55,"1,451",439,0.303
41,Boise St. (Mountain West),59,"1,612",487,0.302
42,Kent St. (MAC),49,"1,334",403,0.302
43,Seattle U (WAC),55,"1,508",454,0.301
44,Prairie View (SWAC),48,"1,161",349,0.301
45,Troy (Sun Belt),56,"1,475",443,0.3
46,UCF (Big 12),56,"1,505",452,0.3
47,Lehigh (Patriot),52,"1,421",426,0.3
48,Chattanooga (SoCon),58,"1,506",451,0.299
49,Tulsa (AAC),53,"1,393",417,0.299
50,Rutgers (Big Ten),55,"1,514",453,0.299
51,Bryant (America East),51,"1,356",405,0.299
52,George Washington (Atlantic 10),53,"1,404",419,0.298
53,Minnesota (Big Ten),53,"1,460",435,0.298
54,Mississippi St. (SEC),54,"1,343",400,0.298
55,Ohio St. (Big Ten),51,"1,370",408,0.298
56,Eastern Ky. (ASUN),52,"1,360",405,0.298
57,Fla. Atlantic (AAC),57,"1,491",444,0.298
58,New Mexico St. (CUSA),55,"1,403",417,0.297
59,Western Ky. (CUSA),54,"1,357",403,0.297
60,Clemson (ACC),54,"1,492",443,0.297
61,Niagara (MAAC),50,"1,317",391,0.297
