Team,Innings_Pitched,Runs,Earned_Runs,Earned_Run_Average
Boston U. (Patriot),407,92,82,1.41
Tennessee (SEC),373,92,76,1.43
Duke (ACC),414,119,99,1.67
Saint Francis (PA) (NEC),356,126,92,1.81
Southern Ill. (MVC),361.1,118,94,1.82
Stanford (Pac-12),451,152,121,1.88
Alabama (SEC),408.1,156,113,1.94
Texas St. (Sun Belt),421,150,117,1.95
Delaware (CAA),357,144,101,1.98
Oklahoma (Big 12),411,129,117,1.99
Missouri (SEC),447.2,159,130,2.03
Texas (Big 12),412,153,121,2.06
Southeastern La. (Southland),400.1,155,118,2.06
Oklahoma St. (Big 12),392.2,146,116,2.07
Campbell (CAA),394.1,162,118,2.09
North Ala. (ASUN),364.1,127,113,2.17
Arkansas (SEC),363.2,148,113,2.18
Cal St. Fullerton (Big West),394.2,144,123,2.18
FGCU (ASUN),409,171,130,2.22
South Carolina (SEC),425,167,136,2.24
Morgan St. (MEAC),353,146,115,2.28
UNCW (CAA),383,159,125,2.28
LSU (SEC),420,167,138,2.30
Clemson (ACC),368.2,163,122,2.32
Omaha (Summit League),399.2,153,133,2.33
Murray St. (MVC),368.2,165,127,2.41
McNeese (Southland),398.2,173,139,2.44
Dayton (Atlantic 10),371,176,131,2.47
UT Martin (OVC),347.1,151,123,2.48
Eastern Ky. (ASUN),342,148,123,2.52
Northwestern (Big Ten),312.2,145,115,2.57
Louisiana (Sun Belt),416.1,196,154,2.59
Eastern Ill. (OVC),379.1,198,141,2.60
Virginia (ACC),367.2,162,138,2.63
Texas A&M (SEC),381.2,168,144,2.64
San Diego St. (Mountain West),346,167,131,2.65
Harvard (Ivy League),291.1,153,111,2.67
Grand Canyon (WAC),414.2,200,158,2.67
ULM (Sun Belt),368.2,171,141,2.68
Auburn (SEC),357,173,137,2.69
Michigan (Big Ten),397.1,188,153,2.70
South Fla. (AAC),391.2,182,151,2.70
UCLA (Pac-12),355,166,137,2.70
Belmont (MVC),339.1,161,132,2.72
Bradley (MVC),382.1,210,150,2.75
South Alabama (Sun Belt),389.1,167,153,2.75
Oakland (Horizon),294.1,155,116,2.76
LIU (NEC),365,166,144,2.76
Nevada (Mountain West),372.2,188,148,2.78
California Baptist (WAC),389.2,205,155,2.78
Charlotte (AAC),387,192,154,2.79
UAlbany (America East),302.1,149,121,2.80
Georgia (SEC),416.2,205,167,2.81
North Florida (ASUN),363.2,170,147,2.83
Washington (Pac-12),308.2,153,125,2.83
Youngstown St. (Horizon),354.1,182,144,2.84
USC Upstate (Big South),346.1,180,141,2.85
St. John's (NY) (Big East),384.2,186,157,2.86
Ole Miss (SEC),394.1,208,161,2.86
Syracuse (ACC),329.1,185,135,2.87
Fla. Atlantic (AAC),378,175,155,2.87
Saint Louis (Atlantic 10),351,183,144,2.87
Marist (MAAC),367.2,191,151,2.87
A&M-Corpus Christi (Southland),283.1,155,117,2.89
Ohio (MAC),360,206,149,2.90
Wofford (SoCon),334.1,184,139,2.91
Louisiana Tech (CUSA),365.1,183,152,2.91
East Carolina (AAC),379.1,178,158,2.92
Jacksonville (ASUN),342,197,143,2.93
Florida (SEC),430,210,180,2.93
Fresno St. (Mountain West),358.1,190,150,2.93
UC Davis (Big West),337.1,182,142,2.95
Chattanooga (SoCon),387,196,163,2.95
Loyola Chicago (Atlantic 10),356.2,190,151,2.96
