Rank,Team,games,putouts,attempts,Errors,fielding_pct
1,Seton Hall (Big East),50,"1,016",388,25,0.983
2,Arizona (Pac-12),56,"1,090",409,30,0.98
3,Omaha (Summit League),58,"1,199",427,33,0.98
4,Oklahoma (Big 12),66,"1,233",434,34,0.98
5,Washington (Pac-12),47,926,299,25,0.98
6,Fla. Atlantic (AAC),57,"1,134",349,31,0.98
7,UCF (Big 12),56,"1,095",473,34,0.979
8,Boston U. (Patriot),60,"1,221",392,35,0.979
9,Arkansas (SEC),55,"1,091",403,33,0.978
10,James Madison (Sun Belt),53,"1,040",377,33,0.977
11,Creighton (Big East),58,"1,136",364,35,0.977
12,Auburn (SEC),51,"1,071",300,33,0.976
13,Georgia (SEC),62,"1,250",422,41,0.976
14,South Fla. (AAC),56,"1,175",453,40,0.976
15,Oklahoma St. (Big 12),61,"1,178",531,42,0.976
16,Tennessee (SEC),56,"1,119",385,37,0.976
16,North Ala. (ASUN),54,"1,093",411,37,0.976
18,LSU (SEC),61,"1,260",442,42,0.976
19,Florida (SEC),69,"1,290",385,42,0.976
20,UIW (Southland),51,"1,036",339,35,0.975
21,UCLA (Pac-12),55,"1,065",308,35,0.975
22,Duke (ACC),61,"1,242",428,43,0.975
23,Oregon (Pac-12),51,"1,009",363,36,0.974
24,South Dakota St. (Summit League),55,"1,047",361,37,0.974
25,Cal St. Fullerton (Big West),58,"1,184",498,45,0.974
26,Princeton (Ivy League),48,949,349,35,0.974
27,Nebraska (Big Ten),53,"1,081",438,42,0.973
28,Texas A&M (SEC),59,"1,145",405,43,0.973
29,Minnesota (Big Ten),53,"1,054",459,42,0.973
30,Virginia Tech (ACC),55,"1,041",326,38,0.973
31,LIU (NEC),53,"1,095",425,43,0.972
32,Robert Morris (Horizon),44,830,300,32,0.972
33,Siena (MAAC),55,"1,100",436,44,0.972
34,Campbell (CAA),59,"1,183",412,46,0.972
35,Central Ark. (ASUN),54,"1,049",372,41,0.972
36,Missouri (SEC),66,"1,343",416,51,0.972
37,North Florida (ASUN),54,"1,091",391,43,0.972
38,Michigan (Big Ten),61,"1,192",351,45,0.972
39,San Diego St. (Mountain West),51,"1,038",453,44,0.971
40,Western Ky. (CUSA),54,"1,039",369,42,0.971
41,Lehigh (Patriot),52,"1,029",345,41,0.971
42,Tulsa (AAC),53,"1,008",350,41,0.971
43,Maryland (Big Ten),54,"1,078",407,45,0.971
44,Binghamton (America East),51,984,325,40,0.97
45,Austin Peay (ASUN),52,"1,020",419,44,0.97
46,Idaho St. (Big Sky),52,"1,011",425,44,0.97
47,Troy (Sun Belt),56,"1,108",375,46,0.97
48,Sacred Heart (NEC),56,"1,097",346,45,0.97
49,Virginia (ACC),54,"1,103",331,45,0.97
50,Gardner-Webb (Big South),53,"1,044",326,43,0.97
