Team,Home_Runs,Home_Run_Per_Game
Miami (OH) (MAC),160,2.76
Virginia Tech (ACC),115,2.09
Oklahoma (Big 12),122,1.85
Georgia Tech (ACC),89,1.62
Oklahoma St. (Big 12),92,1.51
Tennessee (SEC),84,1.50
Wichita St. (AAC),75,1.50
Georgia (SEC),92,1.48
Florida (SEC),100,1.45
Florida St. (ACC),89,1.44
Texas (Big 12),93,1.43
California (Pac-12),79,1.41
Nevada (Mountain West),79,1.39
UNC Greensboro (SoCon),81,1.37
Washington (Pac-12),63,1.34
James Madison (Sun Belt),69,1.30
Arizona (Pac-12),72,1.29
Ohio St. (Big Ten),65,1.27
Northwestern (Big Ten),61,1.27
Boise St. (Mountain West),74,1.25
Kentucky (SEC),68,1.24
Texas Tech (Big 12),60,1.20
UCLA (Pac-12),65,1.18
BYU (Big 12),63,1.17
Texas A&M (SEC),68,1.15
NC State (ACC),61,1.15
Nebraska (Big Ten),61,1.15
Indiana (Big Ten),69,1.15
Troy (Sun Belt),64,1.14
Wisconsin (Big Ten),59,1.13
New Mexico St. (CUSA),62,1.13
Duke (ACC),67,1.10
Oregon (Pac-12),54,1.06
Coastal Carolina (Sun Belt),58,1.05
UNI (MVC),52,1.04
Michigan (Big Ten),63,1.03
Minnesota (Big Ten),54,1.02
Clemson (ACC),55,1.02
Arkansas (SEC),56,1.02
Villanova (Big East),58,1.02
Iowa St. (Big 12),51,1.00
Marist (MAAC),55,1.00
Pittsburgh (ACC),49,1.00
Binghamton (America East),50,0.98
Michigan St. (Big Ten),50,0.98
Colorado St. (Mountain West),46,0.98
Penn St. (Big Ten),53,0.96
Marshall (Sun Belt),51,0.96
Central Conn. St. (NEC),45,0.96
Louisiana (Sun Belt),60,0.94
Charlotte (AAC),53,0.93
Columbia (Ivy League),37,0.93
LMU (CA) (WCC),48,0.91
Grand Canyon (WAC),57,0.90
Arizona St. (Pac-12),46,0.90
Ball St. (MAC),52,0.90
Chattanooga (SoCon),52,0.90
Auburn (SEC),45,0.88
North Carolina (ACC),44,0.88
Liberty (CUSA),55,0.87
Rutgers (Big Ten),48,0.87
Mississippi St. (SEC),47,0.87
Louisville (ACC),45,0.87
Bryant (America East),44,0.86
Mercer (SoCon),45,0.85
