Team,Strike_Outs_For,Walks_Given_Up,K_Per_BB_Ratio
Tennessee (SEC),401,87,4.61
Stanford (Pac-12),490,117,4.19
Boston U. (Patriot),419,108,3.88
Auburn (SEC),392,102,3.84
Belmont (MVC),352,92,3.83
Morgan St. (MEAC),257,68,3.78
Duke (ACC),430,115,3.74
Clemson (ACC),287,77,3.73
Mississippi St. (SEC),308,86,3.58
Texas St. (Sun Belt),348,99,3.52
Western Mich. (MAC),300,89,3.37
Cal St. Fullerton (Big West),362,110,3.29
FDU (NEC),338,107,3.16
Ark.-Pine Bluff (SWAC),317,101,3.14
Missouri (SEC),348,114,3.05
Brown (Ivy League),187,63,2.97
UCLA (Pac-12),345,119,2.90
Eastern Ill. (OVC),313,110,2.85
Omaha (Summit League),348,123,2.83
San Diego St. (Mountain West),181,64,2.83
UNI (MVC),311,112,2.78
Oklahoma (Big 12),393,142,2.77
Southern Ill. (MVC),313,115,2.72
Alabama (SEC),366,135,2.71
Texas (Big 12),298,110,2.71
Purdue Fort Wayne (Horizon),227,84,2.70
Binghamton (America East),293,109,2.69
Grand Canyon (WAC),322,122,2.64
Northern Colo. (Big Sky),307,118,2.60
Virginia Tech (ACC),397,153,2.59
Saint Francis (PA) (NEC),352,136,2.59
Oklahoma St. (Big 12),315,123,2.56
UNCW (CAA),291,115,2.53
Arkansas (SEC),320,127,2.52
South Alabama (Sun Belt),294,117,2.51
LSU (SEC),374,152,2.46
UConn (Big East),398,162,2.46
Washington (Pac-12),313,129,2.43
Loyola Chicago (Atlantic 10),297,123,2.41
Sacramento St. (Big Sky),247,103,2.40
Villanova (Big East),297,128,2.32
Dayton (Atlantic 10),301,130,2.32
Youngstown St. (Horizon),305,132,2.31
USC Upstate (Big South),247,107,2.31
App State (Sun Belt),262,114,2.30
Virginia (ACC),366,160,2.29
North Ala. (ASUN),201,89,2.26
St. John's (NY) (Big East),395,176,2.24
Utah (Pac-12),312,141,2.21
Michigan (Big Ten),369,167,2.21
South Dakota (Summit League),286,130,2.20
Nevada (Mountain West),255,118,2.16
Gardner-Webb (Big South),270,125,2.16
UMass Lowell (America East),269,126,2.13
SIUE (OVC),230,108,2.13
Coastal Carolina (Sun Belt),272,129,2.11
Marist (MAAC),280,133,2.11
Dartmouth (Ivy League),233,111,2.10
Penn St. (Big Ten),320,153,2.09
Fla. Atlantic (AAC),261,125,2.09
Maryland (Big Ten),340,163,2.09
Nicholls (Southland),223,107,2.08
Fresno St. (Mountain West),266,128,2.08
Howard (MEAC),226,109,2.07
Hofstra (CAA),230,111,2.07
Kennesaw St. (ASUN),261,126,2.07
Texas A&M (SEC),354,171,2.07
Jacksonville St. (CUSA),233,113,2.06
Louisiana (Sun Belt),270,131,2.06
Boise St. (Mountain West),294,143,2.06
A&M-Corpus Christi (Southland),263,128,2.05
Buffalo (MAC),266,130,2.05
Ga. Southern (Sun Belt),226,111,2.04
Eastern Ky. (ASUN),231,114,2.03
