Team,Walks_Drawn
Oklahoma (Big 12),337
Florida (SEC),302
Miami (OH) (MAC),276
Villanova (Big East),253
Texas (Big 12),247
UNC Greensboro (SoCon),240
Florida St. (ACC),237
LSU (SEC),234
Texas A&M (SEC),226
Fla. Atlantic (AAC),225
UNI (MVC),217
Charlotte (AAC),215
Mississippi St. (SEC),215
Georgia Tech (ACC),212
Minnesota (Big Ten),212
Virginia Tech (ACC),211
Georgia (SEC),210
Stanford (Pac-12),210
Ball St. (MAC),208
Indiana (Big Ten),205
Boise St. (Mountain West),203
Grand Canyon (WAC),202
Houston (Big 12),201
Southern Ill. (MVC),200
Troy (Sun Belt),200
Auburn (SEC),198
South Carolina (SEC),195
Tennessee (SEC),195
Michigan (Big Ten),193
Clemson (ACC),192
Louisville (ACC),192
Texas St. (Sun Belt),192
NC State (ACC),191
Coastal Carolina (Sun Belt),190
McNeese (Southland),190
Rutgers (Big Ten),190
Dayton (Atlantic 10),186
Missouri (SEC),186
Northwestern (Big Ten),186
Wichita St. (AAC),186
East Carolina (AAC),185
George Washington (Atlantic 10),185
Louisiana Tech (CUSA),185
Ole Miss (SEC),185
Oklahoma St. (Big 12),184
Central Mich. (MAC),183
Seton Hall (Big East),183
UTSA (AAC),183
UNLV (Mountain West),182
Western Ky. (CUSA),182
BYU (Big 12),181
Duke (ACC),181
Prairie View (SWAC),181
Butler (Big East),180
South Fla. (AAC),180
Long Beach St. (Big West),179
Omaha (Summit League),179
Arizona (Pac-12),178
Eastern Ill. (OVC),178
Eastern Ky. (ASUN),178
UCLA (Pac-12),178
Loyola Chicago (Atlantic 10),177
Jacksonville St. (CUSA),176
James Madison (Sun Belt),176
Mercer (SoCon),175
North Texas (AAC),174
Ohio St. (Big Ten),173
Washington (Pac-12),173
Belmont (MVC),172
Iowa St. (Big 12),172
Saint Louis (Atlantic 10),172
Liberty (CUSA),170
Gardner-Webb (Big South),169
Kentucky (SEC),169
Alabama (SEC),168
Central Ark. (ASUN),166
Louisiana (Sun Belt),165
Northern Colo. (Big Sky),165
California (Pac-12),164
Jacksonville (ASUN),164
North Carolina (ACC),164
Elon (CAA),163
Marist (MAAC),163
North Florida (ASUN),163
Delaware (CAA),162
South Dakota St. (Summit League),162
Southern Miss. (Sun Belt),162
UConn (Big East),162
ULM (Sun Belt),162
Nebraska (Big Ten),161
Southeastern La. (Southland),161
Chattanooga (SoCon),160
Purdue (Big Ten),160
Bryant (America East),159
Fordham (Atlantic 10),159
Kansas (Big 12),159
LIU (NEC),159
Lipscomb (ASUN),158
Massachusetts (Atlantic 10),158
Boston U. (Patriot),157
Jackson St. (SWAC),157
St. John's (NY) (Big East),157
Baylor (Big 12),156
Saint Francis (PA) (NEC),155
Arkansas (SEC),154
Samford (SoCon),154
Furman (SoCon),153
Ga. Southern (Sun Belt),153
Hampton (CAA),153
Drake (MVC),151
Marshall (Sun Belt),151
Nevada (Mountain West),151
Wofford (SoCon),151
Morgan St. (MEAC),150
Maryland (Big Ten),149
South Alabama (Sun Belt),149
App State (Sun Belt),147
Siena (MAAC),147
Youngstown St. (Horizon),147
Lamar University (Southland),146
Creighton (Big East),145
Georgetown (Big East),145
Bradley (MVC),144
Saint Joseph's (Atlantic 10),144
San Diego St. (Mountain West),144
UTEP (CUSA),144
Buffalo (MAC),143
Illinois St. (MVC),143
North Dakota St. (Summit League),143
Notre Dame (ACC),143
Penn St. (Big Ten),143
Utah (Pac-12),143
Kansas City (Summit League),142
Lehigh (Patriot),142
Princeton (Ivy League),142
Texas Tech (Big 12),142
Virginia (ACC),142
Yale (Ivy League),142
Stony Brook (CAA),141
Syracuse (ACC),140
UAB (AAC),140
UMBC (America East),140
Colorado St. (Mountain West),139
Missouri St. (MVC),139
Santa Clara (WCC),139
Tulsa (AAC),139
Illinois (Big Ten),138
Michigan St. (Big Ten),138
UC Santa Barbara (Big West),138
USC Upstate (Big South),138
Canisius (MAAC),137
Howard (MEAC),137
Iona (MAAC),137
N.C. Central (MEAC),137
Ohio (MAC),137
Presbyterian (Big South),137
Akron (MAC),136
North Dakota (Summit League),136
Oregon (Pac-12),136
UCF (Big 12),136
Boston College (ACC),135
Cal Poly (Big West),135
Hofstra (CAA),135
Tennessee Tech (OVC),135
Wisconsin (Big Ten),135
Bowling Green (MAC),134
Harvard (Ivy League),134
Campbell (CAA),133
Monmouth (CAA),133
Binghamton (America East),132
Middle Tenn. (CUSA),132
SFA (WAC),132
UT Arlington (WAC),132
Idaho St. (Big Sky),131
Montana (Big Sky),131
UMass Lowell (America East),131
UNCW (CAA),131
Utah Valley (WAC),131
Winthrop (Big South),131
Bucknell (Patriot),130
Colgate (Patriot),130
Tennessee St. (OVC),130
Col. of Charleston (CAA),129
Coppin St. (MEAC),129
Cornell (Ivy League),129
Penn (Ivy League),129
Southeast Mo. St. (OVC),129
UAlbany (America East),129
Cal St. Fullerton (Big West),128
George Mason (Atlantic 10),127
Memphis (AAC),127
Radford (Big South),127
UIW (Southland),127
Evansville (MVC),126
Rider (MAAC),125
N.C. A&T (CAA),124
Sacred Heart (NEC),124
Sam Houston (CUSA),124
St. Bonaventure (Atlantic 10),124
Towson (CAA),124
Murray St. (MVC),123
UC Davis (Big West),123
FGCU (ASUN),122
LMU (CA) (WCC),122
New Mexico St. (CUSA),122
Saint Mary's (CA) (WCC),122
Seattle U (WAC),122
UC Riverside (Big West),122
Kennesaw St. (ASUN),121
UT Martin (OVC),121
Grambling (SWAC),120
Iowa (Big Ten),120
Stetson (ASUN),120
Arizona St. (Pac-12),119
Northern Ky. (Horizon),119
Northwestern St. (Southland),119
Western Caro. (SoCon),119
Pittsburgh (ACC),118
Texas Southern (SWAC),118
Fresno St. (Mountain West),117
Indiana St. (MVC),117
Manhattan (MAAC),117
Merrimack (NEC),117
Portland St. (Big Sky),117
SIUE (OVC),117
NIU (MAC),116
Niagara (MAAC),116
Central Conn. St. (NEC),115
Houston Christian (Southland),115
Weber St. (Big Sky),115
DePaul (Big East),114
Norfolk St. (MEAC),114
Oregon St. (Pac-12),114
Providence (Big East),114
Bethune-Cookman (SWAC),113
FIU (CUSA),113
Mount St. Mary's (MAAC),113
Valparaiso (MVC),113
Brown (Ivy League),112
Kent St. (MAC),112
Nicholls (Southland),112
Hawaii (Big West),111
Rhode Island (Atlantic 10),111
Western Mich. (MAC),111
Charleston So. (Big South),110
FDU (NEC),110
Sacramento St. (Big Sky),110
Abilene Christian (WAC),109
Utah St. (Mountain West),109
Robert Morris (Horizon),108
IU Indy (Horizon),107
Oakland (Horizon),107
Austin Peay (ASUN),106
New Mexico (Mountain West),106
Southern Utah (WAC),106
Alabama St. (SWAC),105
Drexel (CAA),105
ETSU (SoCon),104
Georgia St. (Sun Belt),104
North Ala. (ASUN),104
A&M-Corpus Christi (Southland),103
Detroit Mercy (Horizon),103
UIC (MVC),103
Longwood (Big South),102
South Dakota (Summit League),102
Wagner (NEC),102
Ark.-Pine Bluff (SWAC),101
Saint Peter's (MAAC),101
UMES (MEAC),101
Florida A&M (SWAC),100
Mississippi Val. (SWAC),100
San Diego (WCC),100
Army West Point (Patriot),96
San Jose St. (Mountain West),96
Fairfield (MAAC),95
Pacific (WCC),94
Alcorn (SWAC),93
California Baptist (WAC),93
Quinnipiac (MAAC),91
Holy Cross (Patriot),90
Green Bay (Horizon),89
Southern U. (SWAC),89
Purdue Fort Wayne (Horizon),88
Columbia (Ivy League),87
Maine (America East),87
Morehead St. (OVC),82
Toledo (MAC),82
CSU Bakersfield (Big West),81
CSUN (Big West),80
Cleveland St. (Horizon),78
Delaware St. (MEAC),78
Dartmouth (Ivy League),77
Alabama A&M (SWAC),76
Lafayette (Patriot),75
Western Ill. (OVC),74
South Carolina St. (MEAC),68
