Date,Site,set,play_description,set_winner,losing_team_at_timeout,losing_team_win,home_before_timeout,visiting_before_timeout,winner_next_point,home_after_timeout,visiting_after_timeout,overall_set_number
2013-11-08,"Clarkson University (Alumni Gymnasium)

",1,Timeout St. Lawrence.,visiting,home,FALSE,10,16,visiting,10,17,1
2013-11-08,"Clarkson University (Alumni Gymnasium)

",2,Timeout St. Lawrence.,visiting,home,FALSE,14,23,home,15,23,2
2013-11-08,"Clarkson University (Alumni Gymnasium)

",3,Timeout St. Lawrence.,visiting,home,FALSE,7,10,home,8,10,3
2013-11-08,"Clarkson University (Alumni Gymnasium)

",3,Timeout St. Lawrence.,visiting,home,FALSE,18,22,home,19,22,3
2013-11-08,"Clarkson University (Alumni Gymnasium)

",3,Timeout Union College.,visiting,home,FALSE,21,22,visiting,21,23,3
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",1,Timeout Plattsburgh State.,home,visiting,FALSE,13,10,home,14,10,4
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",1,Timeout Plattsburgh State.,home,visiting,FALSE,23,17,visiting,23,18,4
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",1,Timeout SUNY Canton.,home,visiting,FALSE,23,19,home,24,19,4
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",2,Timeout Plattsburgh State.,visiting,visiting,TRUE,13,12,visiting,13,13,5
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",2,Timeout SUNY Canton.,visiting,home,FALSE,14,17,visiting,14,18,5
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",2,Timeout Plattsburgh State.,visiting,home,FALSE,17,19,visiting,17,20,5
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",2,Timeout SUNY Canton.,visiting,home,FALSE,18,23,home,19,23,5
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",3,Timeout SUNY Canton.,home,home,TRUE,5,10,visiting,5,11,6
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",3,Timeout Plattsburgh State.,home,home,TRUE,11,13,visiting,11,14,6
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",3,Timeout Plattsburgh State.,home,tied,FALSE,17,17,home,18,17,6
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",3,Timeout SUNY Canton.,home,visiting,FALSE,21,20,home,22,20,6
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",4,Timeout Plattsburgh State.,home,home,TRUE,9,11,home,10,11,7
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",4,Timeout Plattsburgh State.,home,visiting,FALSE,19,16,home,20,16,7
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",4,Timeout SUNY Canton.,home,visiting,FALSE,22,18,home,23,18,7
2013-09-10,"Plattsburgh, N.Y. (Memorial Hall)

",4,Timeout SUNY Canton.,home,visiting,FALSE,24,22,home,25,22,7
2013-09-21,"Castleton, VT (Spartan Athletic Com)

",1,Timeout Green Mountain.,visiting,home,FALSE,4,15,home,5,15,8
2013-09-21,"Castleton, VT (Spartan Athletic Com)

",2,Timeout Green Mountain.,visiting,home,FALSE,5,14,home,6,14,9
2013-09-21,"Castleton, VT (Spartan Athletic Com)

",3,Timeout SUNY Canton.,visiting,home,FALSE,6,8,home,7,8,10
2013-09-21,"Castleton, VT (Spartan Athletic Com)

",3,Timeout SUNY Canton.,visiting,tied,FALSE,17,17,visiting,17,18,10
2013-10-04,"Union, N.J. (Harwood Arena)

",1,Timeout SUNY Canton.,visiting,home,FALSE,5,11,home,6,11,17
2013-10-04,"Union, N.J. (Harwood Arena)

",1,Timeout Kean University.,visiting,visiting,TRUE,19,18,visiting,19,19,17
2013-10-04,"Union, N.J. (Harwood Arena)

",2,Timeout SUNY Canton.,visiting,home,FALSE,0,6,home,1,6,18
2013-10-04,"Union, N.J. (Harwood Arena)

",2,Timeout SUNY Canton.,visiting,home,FALSE,12,23,home,13,23,18
2013-10-04,"Union, N.J. (Harwood Arena)

",3,Timeout Kean University.,home,visiting,FALSE,5,0,visiting,5,1,19
2013-10-04,"Union, N.J. (Harwood Arena)

",3,Timeout SUNY Canton.,home,visiting,FALSE,20,11,home,21,11,19
2013-10-04,"Union, N.J. (Harwood Arena)

",4,Timeout SUNY Canton.,home,visiting,FALSE,15,14,home,16,14,20
2013-10-04,"Union, N.J. (Harwood Arena)

",4,Timeout SUNY Canton.,home,visiting,FALSE,21,19,visiting,21,20,20
2013-10-04,"Union, N.J. (Harwood Arena)

",5,Timeout SUNY Canton.,visiting,visiting,TRUE,9,8,visiting,9,9,21
2013-10-05,"Union, N.J. (Harwood Arena)

",1,Timeout Centenary College.,home,visiting,FALSE,17,10,home,18,10,22
2013-10-05,"Union, N.J. (Harwood Arena)

",1,Timeout Centenary College.,home,visiting,FALSE,23,11,home,24,11,22
2013-10-05,"Union, N.J. (Harwood Arena)

",2,Timeout Centenary College.,home,visiting,FALSE,17,6,visiting,17,7,23
2013-10-05,"Union, N.J. (Harwood Arena)

",2,Timeout Centenary College.,home,visiting,FALSE,20,8,home,21,8,23
2013-10-05,"Union, N.J. (Harwood Arena)

",3,Timeout Centenary College.,home,visiting,FALSE,16,4,visiting,16,5,24
2013-10-05,"Union, N.J. (Harwood Arena)

",3,Timeout Centenary College.,home,visiting,FALSE,19,6,home,20,6,24
2013-10-05,"Union, N.J. (Harwood Arena)

",1,Timeout Brooklyn College.,home,visiting,FALSE,10,3,home,11,3,25
2013-10-05,"Union, N.J. (Harwood Arena)

",2,Timeout Brooklyn College.,home,visiting,FALSE,14,5,home,15,5,26
2013-10-05,"Union, N.J. (Harwood Arena)

",3,Timeout SUNY Canton.,home,home,TRUE,4,9,home,5,9,27
2013-10-05,"Union, N.J. (Harwood Arena)

",3,Timeout Brooklyn College.,home,visiting,FALSE,15,14,home,16,14,27
2013-10-05,"Union, N.J. (Harwood Arena)

",3,Timeout Brooklyn College.,home,visiting,FALSE,19,17,home,20,17,27
2013-08-30,"Center Valley, Pa. (Billera Hall)

",1,Timeout Ithaca.,home,visiting,FALSE,9,6,home,10,6,28
2013-08-30,"Center Valley, Pa. (Billera Hall)

",1,Timeout Ithaca.,home,visiting,FALSE,21,16,home,22,16,28
2013-08-30,"Center Valley, Pa. (Billera Hall)

",2,Timeout Ithaca.,visiting,home,FALSE,12,15,visiting,12,16,29
2013-08-30,"Center Valley, Pa. (Billera Hall)

",2,Timeout Cabrini.,visiting,home,FALSE,20,22,home,21,22,29
2013-08-30,"Center Valley, Pa. (Billera Hall)

",3,Timeout Ithaca.,home,visiting,FALSE,21,10,home,22,10,30
2013-08-30,"Center Valley, Pa. (Billera Hall)

",4,Timeout Ithaca.,home,visiting,FALSE,18,15,home,19,15,31
2013-08-30,"Center Valley, Pa. (Billera Hall)

",4,Timeout Ithaca.,home,visiting,FALSE,23,22,home,24,22,31
2013-08-31,"Center Valley, Pa. (Billera Hall)

",1,Timeout DeSales.,home,visiting,FALSE,14,10,visiting,14,11,32
2013-08-31,"Center Valley, Pa. (Billera Hall)

",1,Timeout Ithaca.,home,visiting,FALSE,14,13,visiting,14,14,32
2013-08-31,"Center Valley, Pa. (Billera Hall)

",2,Timeout Ithaca.,visiting,home,FALSE,9,15,home,10,15,33
2013-08-31,"Center Valley, Pa. (Billera Hall)

",2,Timeout Ithaca.,visiting,home,FALSE,10,18,home,11,18,33
2013-08-31,"Center Valley, Pa. (Billera Hall)

",3,Timeout Ithaca.,visiting,home,FALSE,14,18,visiting,14,19,34
2013-08-31,"Center Valley, Pa. (Billera Hall)

",3,Timeout DeSales.,visiting,home,FALSE,18,19,visiting,18,20,34
2013-08-31,"Center Valley, Pa. (Billera Hall)

",3,Timeout DeSales.,visiting,tied,FALSE,22,22,home,23,22,34
2013-08-31,"Center Valley, Pa. (Billera Hall)

",3,Timeout Ithaca.,visiting,home,FALSE,24,25,visiting,24,26,34
2013-08-31,"Center Valley, Pa. (Billera Hall)

",4,Timeout Ithaca.,visiting,home,FALSE,1,7,home,2,7,35
2013-08-31,"Center Valley, Pa. (Billera Hall)

",4,Timeout Ithaca.,visiting,home,FALSE,21,23,visiting,21,24,35
2013-08-31,"Ithaca, N.Y. (Billera Hall)

",1,Timeout Ithaca.,home,visiting,FALSE,13,10,visiting,13,11,36
2013-08-31,"Ithaca, N.Y. (Billera Hall)

",1,Timeout Ithaca.,home,visiting,FALSE,19,13,visiting,19,14,36
2013-08-31,"Ithaca, N.Y. (Billera Hall)

",2,Timeout Muhlenberg.,home,visiting,FALSE,11,7,home,12,7,37
2013-08-31,"Ithaca, N.Y. (Billera Hall)

",3,Timeout Ithaca.,home,visiting,FALSE,9,7,visiting,9,8,38
2013-08-31,"Ithaca, N.Y. (Billera Hall)

",3,Timeout Ithaca.,home,visiting,FALSE,18,15,visiting,18,16,38
2013-08-31,"Ithaca, N.Y. (Billera Hall)

",3,Timeout Muhlenberg.,home,tied,FALSE,18,18,visiting,18,19,38
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Cazenovia.,visiting,home,FALSE,1,7,visiting,1,8,39
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Cazenovia.,visiting,home,FALSE,7,19,visiting,7,20,39
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",2,Timeout Cazenovia.,visiting,home,FALSE,8,13,home,9,13,40
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Cazenovia.,visiting,home,FALSE,2,9,home,3,9,41
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Cazenovia.,visiting,home,FALSE,13,20,visiting,13,21,41
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Ithaca.,home,visiting,FALSE,9,4,home,10,4,42
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Ithaca.,home,visiting,FALSE,20,5,home,21,5,42
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",2,Timeout Ithaca.,home,visiting,FALSE,19,18,home,20,18,43
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",2,Timeout Ithaca.,home,visiting,FALSE,21,18,home,22,18,43
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",2,Timeout Widener.,home,visiting,FALSE,23,21,home,24,21,43
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Ithaca.,home,visiting,FALSE,5,1,home,6,1,44
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Widener.,home,visiting,FALSE,19,16,visiting,19,17,44
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Ithaca.,home,visiting,FALSE,21,18,home,22,18,44
2013-09-06,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Widener.,home,visiting,FALSE,24,21,visiting,24,22,44
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Baptist Bible.,visiting,home,FALSE,7,10,visiting,7,11,45
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Ithaca.,visiting,home,FALSE,16,19,home,17,19,45
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Ithaca.,visiting,home,FALSE,23,24,home,24,24,45
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",2,Timeout Baptist Bible.,visiting,home,FALSE,13,18,visiting,13,19,46
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",1,Timeout Ithaca.,home,visiting,FALSE,18,11,home,19,11,48
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",2,Timeout Ithaca.,home,visiting,FALSE,11,6,visiting,11,7,49
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",2,Timeout Ithaca.,home,visiting,FALSE,21,20,visiting,21,21,49
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Ithaca.,home,visiting,FALSE,9,4,visiting,9,5,50
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Union.,home,visiting,FALSE,21,20,home,22,20,50
2013-09-07,"Ithaca, N.Y. (Ben Light Gymnasium)

",3,Timeout Ithaca.,home,visiting,FALSE,24,20,home,25,20,50
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",1,Timeout Ithaca.,home,home,TRUE,13,16,visiting,13,17,51
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",1,Timeout MSMC.,home,tied,FALSE,23,23,home,24,23,51
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",1,Timeout MSMC.,home,visiting,FALSE,24,23,home,25,23,51
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",2,Timeout MSMC.,home,visiting,FALSE,17,9,home,18,9,52
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",3,Timeout Ithaca.,home,home,TRUE,13,17,home,14,17,53
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",3,Timeout MSMC.,home,visiting,FALSE,22,21,home,23,21,53
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",1,Timeout Ithaca.,home,home,TRUE,11,13,home,12,13,54
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",1,Timeout New Paltz.,home,home,TRUE,19,20,visiting,19,21,54
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",1,Timeout New Paltz.,home,visiting,FALSE,23,22,home,24,22,54
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",1,Timeout Ithaca.,home,visiting,FALSE,24,23,home,25,23,54
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",2,Timeout Ithaca.,visiting,home,FALSE,6,10,visiting,6,11,55
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",2,Timeout Ithaca.,visiting,home,FALSE,16,23,home,17,23,55
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",3,Timeout Ithaca.,visiting,home,FALSE,0,5,home,1,5,56
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",4,Timeout Ithaca.,visiting,home,FALSE,7,13,home,8,13,57
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",4,Timeout New Paltz.,visiting,home,FALSE,17,20,home,18,20,57
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",4,Timeout New Paltz.,visiting,tied,FALSE,21,21,visiting,21,22,57
2013-09-13,"New Paltz, N.Y. (Hawk Center)

",4,Timeout Ithaca.,visiting,home,FALSE,22,23,visiting,22,24,57
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",1,Timeout Ithaca.,visiting,home,FALSE,9,15,visiting,9,16,58
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",1,Timeout Salisbury.,visiting,home,FALSE,18,21,visiting,18,22,58
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",1,Timeout Ithaca.,visiting,home,FALSE,20,24,visiting,20,25,58
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",2,Timeout Salisbury.,visiting,visiting,TRUE,8,4,home,9,4,59
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",2,Timeout Ithaca.,visiting,home,FALSE,11,12,visiting,11,13,59
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",2,Timeout Ithaca.,visiting,home,FALSE,12,21,home,13,21,59
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",3,Timeout Ithaca.,visiting,home,FALSE,11,15,visiting,11,16,60
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",1,Timeout Old Westbury.,home,visiting,FALSE,17,9,home,18,9,61
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",2,Timeout Old Westbury.,home,visiting,FALSE,13,1,home,14,1,62
2013-09-14,"New Paltz, N.Y. (Hawk Center)

",3,Timeout Old Westbury.,home,visiting,FALSE,14,8,home,15,8,63
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",1,Timeout Ithaca.,visiting,home,FALSE,16,17,home,17,17,64
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",1,Timeout Houghton.,visiting,visiting,TRUE,20,17,visiting,20,18,64
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",1,Timeout Ithaca.,visiting,home,FALSE,20,22,visiting,20,23,64
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",2,Timeout Houghton.,home,visiting,FALSE,10,5,home,11,5,65
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",2,Timeout Houghton.,home,visiting,FALSE,21,14,visiting,21,15,65
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",2,Timeout Ithaca.,home,visiting,FALSE,23,18,visiting,23,19,65
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",3,Timeout Houghton.,home,visiting,FALSE,9,3,home,10,3,66
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",3,Timeout Houghton.,home,visiting,FALSE,16,6,home,17,6,66
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",4,Timeout Ithaca.,visiting,home,FALSE,7,10,visiting,7,11,67
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",4,Timeout Ithaca.,visiting,home,FALSE,12,20,home,13,20,67
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",5,Timeout Ithaca.,visiting,home,FALSE,5,10,home,6,10,68
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",1,Timeout Ithaca.,visiting,home,FALSE,5,9,home,6,9,69
2013-09-21,"Oneonta, N.Y. (Lambros Arena)

",1,Timeout Hartwick.,visiting,visiting,TRUE,17,15,home,18,15,69
